Name,Type,Category,Power,Accuracy,PP,Effect%,Target,Flags,Description
Brick Break,FIGHTING,Physical,75,100,15,0,Single exc. user,abef,"Ignores the effect of Reflect. Unless this attack misses, even if this attack becomes ineffective because of type immunities, e..."
Brine,WATER,Special,65,100,10,0,Single exc. user,bef,Power is doubled if the target has half its maximum HP or less.
Bubble,WATER,Special,20,100,30,10,All opposing Pokémon,be,May lower the target’s Speed by 1 stage.
BubbleBeam,WATER,Special,65,100,20,10,Single exc. user,be,May lower the target’s Speed by 1 stage.
Bug Bite,BUG,Physical,60,100,20,0,Single exc. user,abef,"If successful and target is holding a Berry, user uses that item and that item is consumed."
Bug Buzz,BUG,Special,90,100,10,10,Single exc. user,be,May lower the target’s Special Defense by 1 stage.
Bulk Up,FIGHTING,Status,0,0,20,0,User,d,Raises user’s Attack and Defense by 1 stage.
Bullet Punch,STEEL,Physical,40,100,30,0,Single exc. user,abef,Priority level 1.
Bullet Seed,GRASS,Physical,10,100,30,0,Single exc. user,bef,Multi-hit attack. Attacks two to five times in a row. 37.5% chance for two or three times; 12.5% chance for four or five times.
Calm Mind,PSYCHIC,Status,0,0,20,0,User,d,Raises user’s Special Attack and Special Defense by 1 stage.
Camouflage,NORMAL,Status,0,0,20,0,User,d,User’s type changes depending on the terrain.
Captivate,NORMAL,Status,0,100,20,0,All opposing Pokémon,bce,Lowers the target’s Special Attack by 2 stages if its gender is different from the user’s.
Charge,ELECTRIC,Status,0,0,20,0,User,d,"Until the end of the next turn and until user leaves battle, power of Electric attacks by user is doubled. When this attack is..."
Charge Beam,ELECTRIC,Special,50,90,10,70,Single exc. user,bef,May raise user’s Special Attack by 1 stage.
Charm,NORMAL,Status,0,100,20,0,Single exc. user,bce,Lowers the target’s Attack by 2 stages.
Chatter,FLYING,Special,60,100,20,0,Single exc. user,b,"If successful and user’s original species is Chatot, this attack has up to a 31% chance of confusing target depending on user’s..."
Clamp,WATER,Physical,35,75,10,0,Single exc. user,abef,"Multi-turn attack. For three to six turns, the target can’t switch out or run, and after each turn except the last, target lose..."
Close Combat,FIGHTING,Physical,120,100,5,0,Single exc. user,abef,Lowers user’s Defense and Special Defense by 1 stage if this attack is successful.
Comet Punch,NORMAL,Physical,18,85,15,0,Single exc. user,abef,Multi-hit attack. Attacks two to five times in a row. 37.5% chance for two or three times; 12.5% chance for four or five times.
Confuse Ray,GHOST,Status,0,100,10,0,Single exc. user,bce,Confuses the target.
Confusion,PSYCHIC,Special,50,100,25,10,Single exc. user,be,May confuse the target.
Constrict,NORMAL,Physical,10,100,35,10,Single exc. user,abe,May lower the target’s Speed by 1 stage.
Conversion,NORMAL,Status,0,0,30,0,User,,"User’s types become the original type of one of user’s moves, except Curse or this move, chosen at random."
Conversion 2,NORMAL,Status,0,0,30,0,User,,"User’s types change to a random type that the type of the last attack that targeted user is """"not very effective"""" or ineffective..."
Copycat,NORMAL,Status,0,0,20,0,No particular target,,Uses the last move used by a Pokémon.
Cosmic Power,PSYCHIC,Status,0,0,20,0,User,d,Raises user’s Defense and Special Defense by 1 stage.
Cotton Spore,GRASS,Status,0,85,40,0,Single exc. user,bce,Lowers the target’s Speed by 2 stages.
Counter,FIGHTING,Physical,1,100,20,0,No particular target,a,"If the last Pokémon that damaged user with a physical attack this turn is one of user’s opposing Pokémon, and there’s a Pokémon..."
Covet,NORMAL,Physical,40,100,40,0,Single exc. user,abe,"If successful, user receives the item target is holding if user isn’t holding any items, if that item isn’t a Mail or a Griseou..."
Crabhammer,WATER,Physical,90,85,10,0,Single exc. user,abef,Good chance for a critical hit.
Cross Chop,FIGHTING,Physical,100,80,5,0,Single exc. user,abef,Good chance for a critical hit.
Cross Poison,POISON,Physical,70,100,20,10,Single exc. user,abef,Good chance for a critical hit. May poison the target.
Crunch,DARK,Physical,80,100,15,20,Single exc. user,abe,May lower the target’s Defense by 1 stage.
Crush Claw,NORMAL,Physical,75,95,10,50,Single exc. user,abe,May lower the target’s Defense by 1 stage.
Crush Grip,NORMAL,Physical,1,100,5,0,Single exc. user,abef,"The more HP the target has relative to its maximum HP, the greater this attack’s power, up to 121."
Curse,GHOST,Status,0,0,10,0,Single exc. user,,"If user isn’t a Ghost type, lowers user’s Speed by 1 stage and raises user’s Attack and Defense by 1 stage. Otherwise, user los..."
Cut,NORMAL,Physical,50,95,30,0,Single exc. user,abef,
Dark Pulse,DARK,Special,80,100,15,20,Single exc. user,bef,May make the target flinch.
Dark Void,DARK,Status,0,80,10,0,All opposing Pokémon,bce,Puts the target to sleep.
Defend Order,BUG,Status,0,0,10,0,User,d,Raises user’s Defense and Special Defense by 1 stage.
Defense Curl,NORMAL,Status,0,0,40,0,User,d,"Raises user’s Defense by 1 stage. Until user leaves battle, the power of Ice Ball and Rollout, when used by user, is doubled, e..."
Defog,FLYING,Status,0,0,15,0,Single exc. user,be,"Lowers target’s evasiveness by 1 stage. Ends the effects of Light Screen, Mist, Reflect, Safeguard, Spikes, Stealth Rock, and T..."
Destiny Bond,GHOST,Status,0,0,5,0,User,,"Until user’s next attack, if an attack by an opponent causes user to faint, that opponent also faints if that Pokémon is still..."
Detect,FIGHTING,Status,0,0,5,0,User,,User avoids certain attacks used this turn by other Pokémon. Can fail if used multiple times in succession.
Dig,GROUND,Physical,80,100,10,0,Single exc. user,abef,"Two-turn attack. While using, user is unaffected by most attacks."
Disable,NORMAL,Status,0,80,20,0,Single exc. user,be,"For four to seven turns, the last move used by the target when the effect began can’t be used or chosen for use by the target."
Discharge,ELECTRIC,Special,80,100,15,30,All exc. user,bef,May paralyze the target.
Dive,WATER,Physical,80,100,10,0,Single exc. user,abef,"Two-turn attack. While using, user is unaffected by most attacks."
Dizzy Punch,NORMAL,Physical,70,100,10,20,Single exc. user,abe,May confuse the target.
Doom Desire,STEEL,Special,120,85,5,0,Single exc. user,,"Calculates damage, then, after three turns, deals that damage to the target."
Double Hit,NORMAL,Physical,35,90,10,0,Single exc. user,abef,Attacks twice in a row.
Double Kick,FIGHTING,Physical,30,100,30,0,Single exc. user,abef,Attacks twice in a row.
Double Team,NORMAL,Status,0,0,15,0,User,d,Raises user’s evasiveness by 1 stage.
Double-Edge,NORMAL,Physical,120,100,15,0,Single exc. user,abef,"If successful and target loses HP because of this attack, user loses 1/3 that much HP (recoil)."
DoubleSlap,NORMAL,Physical,15,85,10,0,Single exc. user,abef,Multi-hit attack. Attacks two to five times in a row. 37.5% chance for two or three times; 12.5% chance for four or five times.
Draco Meteor,DRAGON,Special,140,90,5,100,Single exc. user,bef,Lowers user’s Special Attack by 2 stages if this attack is successful.
Dragon Claw,DRAGON,Physical,80,100,15,0,Single exc. user,abef,
Dragon Dance,DRAGON,Status,0,0,20,0,User,d,Raises user’s Attack and Speed by 1 stage.
Dragon Pulse,DRAGON,Special,90,100,10,0,Single exc. user,bef,
Dragon Rage,DRAGON,Special,1,100,10,0,Single exc. user,bef,Deals 40 damage to the target. Affected by type immunities.
Dragon Rush,DRAGON,Physical,100,75,10,20,Single exc. user,abef,May make the target flinch.
DragonBreath,DRAGON,Special,60,100,20,30,Single exc. user,bef,May paralyze the target.
Drain Punch,FIGHTING,Physical,60,100,5,0,Single exc. user,abef,"If this attack is successful and the target loses HP because of this attack, user gains half that much HP but not less than 1 HP."
Dream Eater,PSYCHIC,Special,100,100,15,0,Single exc. user,be,"Fails unless target is asleep. If successful and target loses HP because of this attack, user gains half that much HP but not l..."
Drill Peck,FLYING,Physical,80,100,20,0,Single exc. user,abef,
DynamicPunch,FIGHTING,Physical,100,50,5,100,Single exc. user,abe,May confuse the target.
Earth Power,GROUND,Special,90,100,10,10,Single exc. user,bef,May lower the target’s Special Defense by 1 stage.
Earthquake,GROUND,Physical,100,100,10,0,All exc. user,bef,Power is doubled if the target is using Dig.
Egg Bomb,NORMAL,Physical,100,75,10,0,Single exc. user,bef,
Embargo,DARK,Status,0,100,15,0,Single exc. user,be,"For five turns, effects from target’s item are not applied, target can’t throw items, and items can’t be used on target."
Ember,FIRE,Special,40,100,25,10,Single exc. user,be,May burn the target.
Encore,NORMAL,Status,0,100,5,0,Single exc. user,be,"For four to eight turns, the target is forced to use the attack it last used when this effect began."
Endeavor,NORMAL,Physical,1,100,5,0,Single exc. user,abef,Deals damage to target equal to target’s current HP minus user’s current HP. Affected by type immunities.
Endure,NORMAL,Status,0,0,10,0,User,,"Until the end of the turn, if an attack by other Pokémon would reduce user’s HP to less than 1, it reduces user’s HP to 1 inste..."
Energy Ball,GRASS,Special,80,100,10,10,Single exc. user,be,May lower the target’s Special Defense by 1 stage.
Eruption,FIRE,Special,150,100,5,0,All opposing Pokémon,bef,"This attack’s power equals int(user’s current HP * 150 / user’s maximum HP) or 1, whichever is greater."
Explosion,NORMAL,Physical,250,100,5,0,All exc. user,bef,"User faints, after damage calculation. The target’s Defense is treated as halved in damage calculation."
Extrasensory,PSYCHIC,Special,80,100,30,10,Single exc. user,be,May make the target flinch.
ExtremeSpeed,NORMAL,Physical,80,100,5,0,Single exc. user,abef,Priority level 1.
Facade,NORMAL,Physical,70,100,20,0,Single exc. user,abe,"Power is doubled if user is poisoned, burned, or paralyzed."
Faint Attack,DARK,Physical,60,0,20,0,Single exc. user,abef,
Fake Out,NORMAL,Physical,40,100,10,100,Single exc. user,abe,May make target flinch. Priority level 1.
Fake Tears,DARK,Status,0,100,20,0,Single exc. user,bce,Lowers the target’s Special Defense by 2 stages.
False Swipe,NORMAL,Physical,40,100,40,0,Single exc. user,abef,"If this attack’s damage would reduce target’s HP to less than 1, it reduces it to 1 instead."
FeatherDance,FLYING,Status,0,100,15,0,Single exc. user,bce,Lowers the target’s Attack by 2 stages.
Feint,NORMAL,Physical,50,100,10,0,Single exc. user,,"Ignores effect of Protect and Detect. If successful, target’s Protect or Detect is no longer in effect this turn. Fails unless..."
Fire Blast,FIRE,Special,120,85,5,10,Single exc. user,be,May burn the target.
Fire Fang,FIRE,Physical,65,95,15,10,Single exc. user,abef,May burn the target. May make the target flinch. Ignores effect of Wonder Guard.
Fire Punch,FIRE,Physical,75,100,15,10,Single exc. user,abe,May burn the target.
Fire Spin,FIRE,Special,15,70,15,0,Single exc. user,bef,"Multi-turn attack. For three to six turns, the target can’t switch out or run, and after each turn except the last, target lose..."
Fissure,GROUND,Physical,1,30,5,0,Single exc. user,be,One-hit KO. Deals damage to target equal to target’s max. HP. Ineffective if target’s level is greater than user’s level. When...
Flail,NORMAL,Physical,1,100,15,0,Single exc. user,abef,"Power ranges to 20 to 200, and is higher the less HP the user has."
Flame Wheel,FIRE,Physical,60,100,25,10,Single exc. user,abe,"May burn the target. If user is frozen and it chose this move for use, it thaws out before this attack is used."
Flamethrower,FIRE,Special,95,100,15,10,Single exc. user,be,May burn the target.
Flare Blitz,FIRE,Physical,120,100,15,10,Single exc. user,abe,"If successful and target loses HP because of this attack, user loses 1/3 that much HP (recoil). May burn target. If user is fro..."
Flash,NORMAL,Status,0,100,20,0,Single exc. user,bce,Lowers the target’s accuracy by 1 stage.
Flash Cannon,STEEL,Special,80,100,10,10,Single exc. user,bef,May lower the target’s Special Defense by 1 stage.
Flatter,DARK,Status,0,100,15,0,Single exc. user,bce,Raises the target’s Special Attack by 1 stage and confuses the target.
Fling,DARK,Physical,1,100,10,0,Single exc. user,be,"As part of this attack’s use, user throws the item it’s holding at target and that item is consumed after damage calculation. T..."
Fly,FLYING,Physical,90,95,15,0,Single exc. user,abef,"Two-turn attack. While using, user is unaffected by most attacks."
Focus Blast,FIGHTING,Special,120,70,5,10,Single exc. user,be,May lower the target’s Special Defense by 1 stage.
Focus Energy,NORMAL,Status,0,0,30,0,User,d,"During effect, attacks by user have a heightened chance for a critical hit."
Focus Punch,FIGHTING,Physical,150,100,20,0,Single exc. user,ab,Fails if the user was damaged by an attack by another Pokémon this turn. Priority level -3.
Follow Me,NORMAL,Status,0,0,20,0,User,,"If an opponent uses an attack with a range of ""single Pokémon except user"", ""single opposing Pokémon"", or ""opposing Pokémon cho..."
Force Palm,FIGHTING,Physical,60,100,10,30,Single exc. user,abef,May paralyze the target.
Foresight,NORMAL,Status,0,0,40,0,Single exc. user,be,"If target’s evasiveness stat stage is greater than 0, it is treated as 0 in accuracy checks against target. Normal- and Fightin..."
Frenzy Plant,GRASS,Special,150,90,5,0,Single exc. user,bef,"If successful, on the next turn, user can’t take any action and pauses during its attack segment."
Frustration,NORMAL,Physical,1,100,20,0,Single exc. user,abef,"This attack’s power equals int((255-User’s friendship)*2/5) or 1, whichever is greater."
Fury Attack,NORMAL,Physical,15,85,20,0,Single exc. user,abef,Multi-hit attack. Attacks two to five times in a row. 37.5% chance for two or three times; 12.5% chance for four or five times.
Fury Cutter,BUG,Physical,10,95,20,0,Single exc. user,abef,"A multiplier, X, raises by 1 if successful, up to a maximum of 4. X is reset to 0 when user leaves battle; when user falls asle..."
Fury Swipes,NORMAL,Physical,18,80,15,0,Single exc. user,abef,Multi-hit attack. Attacks two to five times in a row. 37.5% chance for two or three times; 12.5% chance for four or five times.
Future Sight,PSYCHIC,Special,80,90,15,0,Single exc. user,,"Calculates damage, then, after three turns, deals that damage to the target."
Gastro Acid,POISON,Status,0,100,10,0,Single exc. user,bce,"During effect, effects from target’s ability are not applied."
Giga Drain,GRASS,Special,60,100,10,0,Single exc. user,be,"If this attack is successful and the target loses HP because of this attack, user gains half that much HP but not less than 1 HP."
Giga Impact,NORMAL,Physical,150,90,5,0,Single exc. user,abef,"If successful, on the next turn, user can’t take any action and pauses during its attack segment."
Glare,NORMAL,Status,0,75,30,0,Single exc. user,bce,Paralyzes the target.
Grass Knot,GRASS,Special,1,100,20,0,Single exc. user,abef,"Power is 20 if the weight of target’s species is 10 kilograms or less, else 40 if 25 kg or less, else 60 if 50 kg or less, else..."
GrassWhistle,GRASS,Status,0,55,15,0,Single exc. user,bce,Puts the target to sleep.
Gravity,PSYCHIC,Status,0,0,5,0,Both sides,,"For five turns, airborne moves stop and can’t be used, accuracy is raised, and advantages of Levitate and Flying type are lost."
Growl,NORMAL,Status,0,100,40,0,All opposing Pokémon,bce,Lowers the target’s Attack by 1 stage.
Growth,NORMAL,Status,0,0,40,0,User,d,Raises user’s Special Attack by 1 stage.
Grudge,GHOST,Status,0,0,5,0,User,,"Until user’s next attack, if an attack by an opponent causes user to faint, the PP of the move that attack’s user chose for use..."
Guard Swap,PSYCHIC,Status,0,0,10,0,Single exc. user,be,"User adopts target’s current Defense and Sp. Def stat stages, and target adopts user’s current Defense and Sp. Def stat stages."
Guillotine,NORMAL,Physical,1,30,5,0,Single exc. user,abe,One-hit KO. Deals damage to target equal to target’s max. HP. Ineffective if target’s level is greater than user’s level. When...
Gunk Shot,POISON,Physical,120,70,5,30,Single exc. user,bef,May poison the target.
Gust,FLYING,Special,40,100,35,0,Single exc. user,bef,Power is doubled if the target is using Fly or Bounce.
Gyro Ball,STEEL,Physical,1,100,5,0,Single exc. user,abef,"This attack’s power equals int((the target’s current Speed*25)/max(user’s current Speed,1))+1, or 150, whichever is less."
Hail,ICE,Status,0,0,10,0,Both sides,b,"Weather. For five turns, after each turn except the last, each Pokémon in battle, except Ice types, loses 1/16 max. HP simultan..."
Hammer Arm,FIGHTING,Physical,100,90,10,0,Single exc. user,abef,Lowers user’s Speed by 1 stage if this attack is successful.
Harden,NORMAL,Status,0,0,30,0,User,d,Raises user’s Defense by 1 stage.
Haze,ICE,Status,0,0,30,0,Both sides,,Resets all stat stages on all Pokémon in battle to zero.
Head Smash,ROCK,Physical,150,80,5,0,Single exc. user,abef,"If successful and the target loses HP because of this attack, user loses half that much HP (recoil)."
Headbutt,NORMAL,Physical,70,100,15,30,Single exc. user,abe,May make the target flinch.
Heal Bell,NORMAL,Status,0,0,5,0,User's side,d,"Each Pokémon (both in battle and not in battle) on the user’s side stops being poisoned, burned, paralyzed, frozen, and asleep."
Heal Block,PSYCHIC,Status,0,100,15,0,All opposing Pokémon,be,"For five turns, the moves Heal Order, Milk Drink, Moonlight, Morning Sun, Recover, Rest, Roost, Slack Off, Softboiled, Swallow,..."
Heal Order,BUG,Status,0,0,10,0,User,d,User gains half of its maximum HP. Fails if user’s HP is full.
Healing Wish,PSYCHIC,Status,0,0,10,0,User,,"User faints as part of this attack’s use. When a Pokémon at user’s position enters battle during this attack segment, it gains..."
Heart Swap,PSYCHIC,Status,0,0,10,0,Single exc. user,be,"Simultaneously, user adopts the target’s current stat stages, and the target adopts user’s current stat stages."
Heat Wave,FIRE,Special,100,90,10,10,All opposing Pokémon,be,May burn the target.
Helping Hand,NORMAL,Status,0,0,20,0,Ally,,Power of attacks by target this turn is multiplied by 1.5. Priority level 5.
Hi Jump Kick,FIGHTING,Physical,100,90,20,0,Single exc. user,abef,"If this attack misses or becomes ineffective, user loses HP equal to the damage the attack would have dealt divided by 2."
Hidden Power,NORMAL,Special,1,100,15,0,Single exc. user,bef,Power and type vary depending on the user’s individual values.
Horn Attack,NORMAL,Physical,65,100,25,0,Single exc. user,abef,
Horn Drill,NORMAL,Physical,1,30,5,0,Single exc. user,abe,One-hit KO. Deals damage to target equal to target’s max. HP. Ineffective if target’s level is greater than user’s level. When...
Howl,NORMAL,Status,0,0,40,0,User,d,Raises user’s Attack by 1 stage.
Hydro Cannon,WATER,Special,150,90,5,0,Single exc. user,bef,"If successful, on the next turn, user can’t take any action and pauses during its attack segment."
Hydro Pump,WATER,Special,120,80,5,0,Single exc. user,bef,
Hyper Beam,NORMAL,Special,150,90,5,0,Single exc. user,bef,"If successful, on the next turn, user can’t take any action and pauses during its attack segment."
Hyper Fang,NORMAL,Physical,80,90,15,10,Single exc. user,abe,May make the target flinch.
Hyper Voice,NORMAL,Special,90,100,10,0,All opposing Pokémon,be,
Hypnosis,PSYCHIC,Status,0,70,20,0,Single exc. user,bce,"Puts the target to sleep. (This attack’s starting accuracy is 60 in HeartGold, Platinum, and SoulSilver.)"
Ice Ball,ICE,Physical,30,90,20,0,Single exc. user,abef,"If successful and isn’t already in effect, the effect begins and X is set to 2. User uses this attack during each of its attack..."
Ice Beam,ICE,Special,95,100,10,10,Single exc. user,be,May freeze the target.
Ice Fang,ICE,Physical,65,95,15,10,Single exc. user,abef,May freeze the target. May make the target flinch.
Ice Punch,ICE,Physical,75,100,15,10,Single exc. user,abe,May freeze the target.
Ice Shard,ICE,Physical,40,100,30,0,Single exc. user,bef,Priority level 1.
Icicle Spear,ICE,Physical,10,100,30,0,Single exc. user,bef,Multi-hit attack. Attacks two to five times in a row. 37.5% chance for two or three times; 12.5% chance for four or five times.
Icy Wind,ICE,Special,55,95,15,100,All opposing Pokémon,be,May lower the target’s Speed by 1 stage.
Imprison,PSYCHIC,Status,0,0,10,0,User,,"During effect, moves that user knows can’t be used or chosen for use by each opposing Pokémon."
Ingrain,GRASS,Status,0,0,20,0,User,d,"User can’t switch out or run, and after each turn, user gains 1/16 max. HP. Ground attacks are effective against user and user..."
Iron Defense,STEEL,Status,0,0,15,0,User,d,Raises user’s Defense by 2 stages.
Iron Head,STEEL,Physical,80,100,15,30,Single exc. user,abef,May make the target flinch.
Iron Tail,STEEL,Physical,100,75,15,30,Single exc. user,abe,May lower the target’s Defense by 1 stage.
Judgment,NORMAL,Special,100,100,10,0,Single exc. user,bef,"If user is holding a Plate, this attack’s type depends on the item held."
Jump Kick,FIGHTING,Physical,85,95,25,0,Single exc. user,abef,"If this attack misses or becomes ineffective, user loses HP equal to the damage the attack would have dealt divided by 2."
Karate Chop,FIGHTING,Physical,50,100,25,0,Single exc. user,abef,Good chance for a critical hit.
Kinesis,PSYCHIC,Status,0,80,15,0,Single exc. user,bce,Lowers the target’s accuracy by 1 stage.
Knock Off,DARK,Physical,20,100,20,0,Single exc. user,abe,"If successful and target isn’t holding Griseous Orb, target drops the item it’s holding for the rest of the battle even if targ..."
Last Resort,NORMAL,Physical,130,100,5,0,Single exc. user,abef,"Fails unless user has two or more moves and either doesn’t have this move or, for each other move slot it has with a move, had..."
Lava Plume,FIRE,Special,80,100,15,30,All exc. user,bef,May burn the target.
Leaf Blade,GRASS,Physical,90,100,15,0,Single exc. user,abef,Good chance for a critical hit.
Leaf Storm,GRASS,Special,140,90,5,100,Single exc. user,bef,Lowers user’s Special Attack by 2 stages if this attack is successful.
Leech Life,BUG,Physical,20,100,15,0,Single exc. user,abe,"If this attack is successful and the target loses HP because of this attack, user gains half that much HP but not less than 1 HP."
Leech Seed,GRASS,Status,0,90,10,0,Single exc. user,bce,After each
Leer,NORMAL,Status,0,100,30,0,All opposing Pokémon,bce,Lowers the target’s Defense by 1 stage.
Lick,GHOST,Physical,20,100,30,30,Single exc. user,abe,May paralyze the target.
Light Screen,PSYCHIC,Status,0,0,30,0,User's side,d,"For five turns, special attacks against Pokémon on user’s side deal reduced damage."
Lock-On,NORMAL,Status,0,0,5,0,Single exc. user,be,"Until the end of the next turn, attacks by user against target can’t be evaded and do not miss target because it’s using a two-..."
Lovely Kiss,NORMAL,Status,0,75,10,0,Single exc. user,bce,Puts the target to sleep.
Low Kick,FIGHTING,Physical,1,100,20,0,Single exc. user,abef,"Power is 20 if the weight of target’s species is 10 kilograms or less, else 40 if 25 kg or less, else 60 if 50 kg or less, else..."
Lucky Chant,NORMAL,Status,0,0,30,0,User's side,,"For five turns, no attacks against any Pokémon in battle on user’s side can be critical hits."
Lunar Dance,PSYCHIC,Status,0,0,10,0,User,,User faints. The next Pokémon entering battle gains all HP and PP and is cured of status problems.
Luster Purge,PSYCHIC,Special,70,100,5,50,Single exc. user,be,May lower the target’s Special Defense by 1 stage.
Mach Punch,FIGHTING,Physical,40,100,30,0,Single exc. user,abef,Priority level 1.
Magic Coat,PSYCHIC,Status,0,0,15,0,No particular target,,"The next time this turn, if user is target of an attack with flag ""c"" by other Pokémon, instead user uses that attack against t..."
Magical Leaf,GRASS,Special,60,0,20,0,Single exc. user,bef,
Magma Storm,FIRE,Special,120,70,5,0,Single exc. user,bef,"Multi-turn attack. For three to six turns, the target can’t switch out or run, and after each turn except the last, target lose..."
Magnet Bomb,STEEL,Physical,60,0,20,0,Single exc. user,bef,
Magnet Rise,ELECTRIC,Status,0,0,10,0,User,,"For five turns, user is immune to damaging Ground attacks, and user is unaffected by Spikes and Toxic Spikes, and user can swit..."
Magnitude,GROUND,Physical,1,100,30,0,All exc. user,bef,"Power is 10, 30, 50, 70, 90, 110, or 150. If a target is using Dig, this attack’s power is doubled for that target."
Me First,NORMAL,Status,0,0,20,0,Single opposing Pokémon,b,"If user strikes before target this turn and the move target chose for use this turn is a damaging move other than Chatter, Coun..."
Mean Look,NORMAL,Status,0,0,5,0,Single exc. user,bce,"During effect, target can’t switch out or run."
Meditate,PSYCHIC,Status,0,0,40,0,User,d,Raises user’s Attack by 1 stage.
Mega Drain,GRASS,Special,40,100,15,0,Single exc. user,be,"If this attack is successful and the target loses HP because of this attack, user gains half that much HP but not less than 1 HP."
Mega Kick,NORMAL,Physical,120,75,5,0,Single exc. user,abef,
Mega Punch,NORMAL,Physical,80,85,20,0,Single exc. user,abef,
