Name,Type,Category,Power,Accuracy,PP,Effect%,Target,Flags,Description
Blizzard,ICE,Special,120,70,5,10,All opposing Pokémon,be,"May freeze the target. During Hail, this attack can’t be evaded."
Block,NORMAL,Status,0,101,5,0,Single exc. user,bce,"During effect, the target can’t switch out or run. During effect, this attack fails against the target."
Blue Flare,FIRE,Special,130,85,5,20,Single exc. user,be,May burn the target.
Body Slam,NORMAL,Physical,85,100,15,30,Single exc. user,abe,May paralyze the target.
Bolt Strike,ELECTRIC,Physical,130,85,5,20,Single exc. user,abe,May paralyze the target.
Bone Club,GROUND,Physical,65,85,20,10,Single exc. user,be,May make the target flinch.
Bone Rush,GROUND,Physical,25,90,10,0,Single exc. user,be,Multi-hit attack. Attacks two to five times in a row. 35% chance for two or three times; 15% chance for four or five times.
Bonemerang,GROUND,Physical,50,90,10,0,Single exc. user,be,Attacks twice in a row.
Bounce,FLYING,Physical,85,85,5,30,Single exc. user,abehln,"While using, user is unaffected by most attacks. May paralyze target."
Brave Bird,FLYING,Physical,120,100,15,0,Single exc. user,aben,"If target loses HP because of this attack, user loses 33% that much HP."
Brick Break,FIGHTING,Physical,75,100,15,0,Single exc. user,abe,"Ignores the effect of Reflect. If this attack is successful, ends the effects of Reflect and Light Screen on the target’s side."
Brine,WATER,Special,65,100,10,0,Single exc. user,be,Power is doubled if the target has half its maximum HP or less.
Bubble,WATER,Special,20,100,30,10,All opposing Pokémon,be,May lower the target’s Speed by 1 stage.
BubbleBeam,WATER,Special,65,100,20,10,Single exc. user,be,May lower the target’s Speed by 1 stage.
Bug Bite,BUG,Physical,60,100,20,0,Single exc. user,abe,"After user uses this attack, if this attack was successful and target is holding a Berry, and if user has at least 1 HP, user u..."
Bug Buzz,BUG,Special,90,100,10,10,Single exc. user,bek,May lower the target’s Special Defense by 1 stage.
Bulk Up,FIGHTING,Status,0,101,20,0,User,d,Raises user’s Attack and Defense by 1 stage.
Bulldoze,GROUND,Physical,60,100,20,100,All exc. user,be,May lower the target’s Speed by 1 stage.
Bullet Punch,STEEL,Physical,40,100,30,0,Single exc. user,abej,Priority level 1.
Bullet Seed,GRASS,Physical,25,100,30,0,Single exc. user,be,Multi-hit attack. Attacks two to five times in a row. 35% chance for two or three times; 15% chance for four or five times.
Calm Mind,PSYCHIC,Status,0,101,20,0,User,d,Raises user’s Special Attack and Special Defense by 1 stage.
Camouflage,NORMAL,Status,0,101,20,0,User,d,"In grass and tall grass, user’s type becomes Grass. On water/puddles, user’s type becomes Water. On snow and ice, user’s type b..."
Captivate,NORMAL,Status,0,100,20,0,All opposing Pokémon,bce,"Lowers target’s Sp. Atk by 2 stages if target doesn’t have Oblivious, target’s gender is different from user’s, and neither is..."
Charge,ELECTRIC,Status,0,101,20,0,User,d,"For two turns, the power of Electric attacks by user is doubled. When this attack is used, raises user’s Sp. Def by 1 stage."
Charge Beam,ELECTRIC,Special,50,90,10,70,Single exc. user,be,May raise user’s Special Attack by 1 stage.
Charm,NORMAL,Status,0,100,20,0,Single exc. user,bce,Lowers the target’s Attack by 2 stages.
Chatter,FLYING,Special,60,100,20,0,Single exc. user,bkn,May confuse the target. Additional effect won’t occur unless user is a Chatot and hasn’t transformed.
Chip Away,NORMAL,Physical,70,100,20,0,Single exc. user,abe,This attack ignores the target’s stat stages (both in accuracy checks and damage calculation).
Circle Throw,FIGHTING,Physical,60,90,10,0,Single exc. user,abe,"In wild Pokémon battles, the battle ends if successful, target and user each have at least 1 HP, and user’s level is greater th..."
Clamp,WATER,Physical,35,85,15,100,Single exc. user,abe,"Multi-turn attack. Lasts five or six turns. The target can’t switch out or run, and after each turn except the last, target los..."
Clear Smog,POISON,Special,50,101,15,0,Single exc. user,be,"If this attack is successful, resets all the target’s stat stages to zero."
Close Combat,FIGHTING,Physical,120,100,5,100,Single exc. user,abe,Lowers user’s Defense and Special Defense by 1 stage if this attack is successful.
Coil,POISON,Status,0,101,20,0,User,d,"Raises user’s Attack, Defense, and accuracy by 1 stage."
Comet Punch,NORMAL,Physical,18,85,15,0,Single exc. user,abej,Multi-hit attack. Attacks two to five times in a row. 35% chance for two or three times; 15% chance for four or five times.
Confuse Ray,GHOST,Status,0,100,10,0,Single exc. user,bce,Confuses the target.
Confusion,PSYCHIC,Special,50,100,25,10,Single exc. user,be,May confuse the target.
Constrict,NORMAL,Physical,10,100,35,10,Single exc. user,abe,May lower the target’s Speed by 1 stage.
Conversion,NORMAL,Status,0,101,30,0,User,d,"User’s types become the original type of one of the user’s moves, except this move, chosen at random."
Conversion 2,NORMAL,Status,0,101,30,0,Single exc. user,p,"User’s types change to a random type that the type of the last attack target used against user is """"not very effective"""" or ineff..."
Copycat,NORMAL,Status,0,101,20,0,User,,Uses the last move called by a Pokémon.
Cosmic Power,PSYCHIC,Status,0,101,20,0,User,d,Raises user’s Defense and Special Defense by 1 stage.
Cotton Guard,GRASS,Status,0,101,10,0,User,d,Raises user’s Defense by 3 stages.
Cotton Spore,GRASS,Status,0,100,40,0,Single exc. user,bce,Lowers the target’s Speed by 2 stages.
Counter,FIGHTING,Physical,1,100,20,0,No particular target,ab,"If user was damaged by one or more physical attacks by an opponent this turn, deals X times 2 damage to the Pokémon at the posi..."
Covet,NORMAL,Physical,60,100,40,0,Single exc. user,abe,"After this attack is used, user receives target’s item if user isn’t holding an item."
Crabhammer,WATER,Physical,90,90,10,0,Single exc. user,abe,Good chance for a critical hit.
Cross Chop,FIGHTING,Physical,100,80,5,0,Single exc. user,abe,Good chance for a critical hit.
Cross Poison,POISON,Physical,70,100,20,10,Single exc. user,abe,Good chance for a critical hit. May poison the target.
Crunch,DARK,Physical,80,100,15,20,Single exc. user,abe,May lower the target’s Defense by 1 stage.
Crush Claw,NORMAL,Physical,75,95,10,50,Single exc. user,abe,May lower the target’s Defense by 1 stage.
Crush Grip,NORMAL,Physical,1,100,5,0,Single exc. user,abe,"The more HP the target has relative to its maximum HP, the greater this attack’s power, up to 120."
Curse,GHOST,Status,0,101,10,0,No particular target,p,"If user isn’t a Ghost type, lowers user’s Speed by 1 stage and raises user’s Attack and Defense by 1 stage. Otherwise, user los..."
Cut,NORMAL,Physical,50,95,30,0,Single exc. user,abe,
Dark Pulse,DARK,Special,80,100,15,20,Single exc. user,ben,May make the target flinch.
Dark Void,DARK,Status,0,80,10,0,All opposing Pokémon,bce,Puts the target to sleep.
Defend Order,BUG,Status,0,101,10,0,User,d,Raises user’s Defense and Special Defense by 1 stage.
Defense Curl,NORMAL,Status,0,101,40,0,User,d,"Raises user’s Defense by 1 stage. Until user leaves battle, the power of Ice Ball and Rollout, when used by user, is doubled ev..."
Defog,FLYING,Status,0,101,15,0,Single exc. user,bcep,"Lowers target’s evasiveness by 1 stage. Ends the effects of Light Screen, Mist, Reflect, Safeguard, Spikes, Stealth Rock, and T..."
Destiny Bond,GHOST,Status,0,101,5,0,User,p,"Until user’s next attack, if an attack by an opponent against user causes user to faint, that opponent also faints if that Poké..."
Detect,FIGHTING,Status,0,101,5,0,User,,User avoids certain attacks by other Pokémon against user this turn. Can fail if used multiple times in a row.
Dig,GROUND,Physical,80,100,10,0,Single exc. user,abeh,"While using, user is unaffected by most attacks."
Disable,NORMAL,Status,0,100,20,0,Single exc. user,bcep,"Lasts four turns, or if user strikes after target, five turns. The last move used by target when the effect began can’t be used..."
Discharge,ELECTRIC,Special,80,100,15,30,All exc. user,be,May paralyze the target.
Dive,WATER,Physical,80,100,10,0,Single exc. user,abeh,"While using, user is unaffected by most attacks."
Dizzy Punch,NORMAL,Physical,70,100,10,20,Single exc. user,abej,May confuse the target.
Doom Desire,STEEL,Special,140,100,5,0,Single exc. user,,"Has no immediate effect when used. For three turns, after the last turn, if there’s a Pokémon at the position target had when t..."
Double Hit,NORMAL,Physical,35,90,10,0,Single exc. user,abe,Attacks twice in a row.
Double Kick,FIGHTING,Physical,30,100,30,0,Single exc. user,abe,Attacks twice in a row.
Double Team,NORMAL,Status,0,101,15,0,User,d,Raises user’s evasiveness by 1 stage.
Double-Edge,NORMAL,Physical,120,100,15,0,Single exc. user,abe,"If target loses HP because of this attack, user loses 33% that much HP."
DoubleSlap,NORMAL,Physical,15,85,10,0,Single exc. user,abe,Multi-hit attack. Attacks two to five times in a row. 35% chance for two or three times; 15% chance for four or five times.
Draco Meteor,DRAGON,Special,140,90,5,100,Single exc. user,be,Lowers user’s Special Attack by 2 stages if this attack is successful.
Dragon Claw,DRAGON,Physical,80,100,15,0,Single exc. user,abe,
Dragon Dance,DRAGON,Status,0,101,20,0,User,d,Raises user’s Attack and Speed by 1 stage.
Dragon Pulse,DRAGON,Special,90,100,10,0,Single exc. user,ben,
Dragon Rage,DRAGON,Special,1,100,10,0,Single exc. user,be,Deals 40 damage to the target. Affected by type immunities.
Dragon Rush,DRAGON,Physical,100,75,10,20,Single exc. user,abe,May make the target flinch.
Dragon Tail,DRAGON,Physical,60,90,10,0,Single exc. user,abe,"In wild Pokémon battles, the battle ends if successful, target and user each have at least 1 HP, and user’s level is greater th..."
DragonBreath,DRAGON,Special,60,100,20,30,Single exc. user,be,May paralyze the target.
Drain Punch,FIGHTING,Physical,75,100,10,0,Single exc. user,abej,"If target loses HP because of this attack, user gains half that much HP."
Dream Eater,PSYCHIC,Special,100,100,15,0,Single exc. user,be,"Fails unless target is asleep. If target loses HP because of this attack, user gains half that much HP."
Drill Peck,FLYING,Physical,80,100,20,0,Single exc. user,aben,
Drill Run,GROUND,Physical,80,95,10,0,Single exc. user,abe,Good chance for a critical hit.
Dual Chop,DRAGON,Physical,40,90,15,0,Single exc. user,abe,Attacks twice in a row.
DynamicPunch,FIGHTING,Physical,100,50,5,100,Single exc. user,abej,May confuse the target.
Earth Power,GROUND,Special,90,100,10,10,Single exc. user,be,May lower the target’s Special Defense by 1 stage.
Earthquake,GROUND,Physical,100,100,10,0,All exc. user,be,Damage is doubled if the target is using Dig.
Echoed Voice,NORMAL,Special,40,100,15,0,Single exc. user,bek,Power is multiplied by the number of consecutive turns in which this move is used by a Pokémon and this use.
Egg Bomb,NORMAL,Physical,100,75,10,0,Single exc. user,be,
Electro Ball,ELECTRIC,Special,1,100,10,0,Single exc. user,be,"If user’s Speed divided by the greater of 1 or target’s Speed, is 4 or greater, power is 150; else 120 if it’s 3; else 80 if it..."
Electroweb,ELECTRIC,Special,55,95,15,100,All opposing Pokémon,be,Lowers the target’s Speed by 1 stage.
Embargo,DARK,Status,0,100,15,0,Single exc. user,bce,"For five turns, effects from the target’s item are not applied and the target can’t be chosen as the target of an item."
Ember,FIRE,Special,40,100,25,10,Single exc. user,be,May burn the target.
Encore,NORMAL,Status,0,100,5,0,Single exc. user,bcep,"Lasts three turns, or if user strikes after target, four turns. The target, during each of its attack segments, uses the last m..."
Endeavor,NORMAL,Physical,1,100,5,0,Single exc. user,abe,Deals damage to the target equal to the target’s current HP minus user’s current HP. Affected by type immunities.
Endure,NORMAL,Status,0,101,10,0,User,,"This turn, if an attack by other Pokémon would reduce user’s HP to less than 1, it reduces user’s HP to 1 instead. This attack..."
Energy Ball,GRASS,Special,80,100,10,10,Single exc. user,be,May lower the target’s Special Defense by 1 stage.
Entrainment,NORMAL,Status,0,100,15,0,Single exc. user,bce,Changes the target’s Ability to that of the user.
Eruption,FIRE,Special,150,100,5,0,All opposing Pokémon,be,"This attack’s power equals int(user’s current HP * 150 / user’s maximum HP) or 1, whichever is greater."
Explosion,NORMAL,Physical,250,100,5,0,All exc. user,be,"User faints as part of this attack’s use, after damage calculation."
Extrasensory,PSYCHIC,Special,80,100,30,10,Single exc. user,be,May make the target flinch.
ExtremeSpeed,NORMAL,Physical,80,100,5,0,Single exc. user,abe,Priority level 2.
Facade,NORMAL,Physical,70,100,20,0,Single exc. user,abe,"Power is doubled if user is poisoned, burned, or paralyzed."
Faint Attack,DARK,Physical,60,101,20,0,Single exc. user,abe,
Fake Out,NORMAL,Physical,40,100,10,100,Single exc. user,abe,May make the target flinch. Priority level 3.
Fake Tears,DARK,Status,0,100,20,0,Single exc. user,bce,Lowers the target’s Special Defense by 2 stages.
False Swipe,NORMAL,Physical,40,100,40,0,Single exc. user,abe,"If this attack’s damage would reduce the target’s HP to less than 1, it reduces it to 1 instead."
FeatherDance,FLYING,Status,0,100,15,0,Single exc. user,bce,Lowers the target’s Attack by 2 stages.
Feint,NORMAL,Physical,30,100,10,0,Single exc. user,,Ignores effect of Protect and Detect by target. Ignores effect of Wide Guard and Quick Guard on target’s side if target is an o...
Fiery Dance,FIRE,Special,80,100,10,50,Single exc. user,be,May raise user’s Special Attack by 1 stage.
Final Gambit,FIGHTING,Special,1,100,5,0,Single exc. user,ab,"Deals damage equal to user’s current HP. If this attack is successful, the user faints. Affected by type immunities."
Fire Blast,FIRE,Special,120,85,5,10,Single exc. user,be,May burn the target.
Fire Fang,FIRE,Physical,65,95,15,10,Single exc. user,abe,May burn the target. May make the target flinch.
Fire Pledge,FIRE,Special,50,100,10,0,Single exc. user,be,"If at least one ally of user that strikes after user has chosen Water Pledge or Grass Pledge for use this turn, and such a move..."
Fire Punch,FIRE,Physical,75,100,15,10,Single exc. user,abej,May burn the target.
Fire Spin,FIRE,Special,35,85,15,100,Single exc. user,be,"Multi-turn attack. Lasts five or six turns. The target can’t switch out or run, and after each turn except the last, target los..."
Fissure,GROUND,Physical,1,30,5,0,Single exc. user,be,One-hit KO. Ineffective if target’s level is higher than the user’s level.
Flail,NORMAL,Physical,1,100,15,0,Single exc. user,abe,"The less HP the user has, the greater this attack’s power."
Flame Burst,FIRE,Special,70,100,15,0,Single exc. user,be,"If successful, each ally adjacent to target loses 1/16 of its maximum HP."
Flame Charge,FIRE,Physical,50,100,20,100,Single exc. user,abe,May raise user’s Speed by 1 stage.
Flame Wheel,FIRE,Physical,60,100,25,10,Single exc. user,abem,May burn the target.
Flamethrower,FIRE,Special,95,100,15,10,Single exc. user,be,May burn the target.
Flare Blitz,FIRE,Physical,120,100,15,10,Single exc. user,abem,"If target loses HP because of this attack, user loses 33% that much HP. May burn target."
Flash,NORMAL,Status,0,100,20,0,Single exc. user,bce,Lowers the target’s accuracy by 1 stage.
Flash Cannon,STEEL,Special,80,100,10,10,Single exc. user,be,May lower the target’s Special Defense by 1 stage.
Flatter,DARK,Status,0,100,15,0,Single exc. user,bce,Raises the target’s Special Attack by 1 stage and confuses the target.
Fling,DARK,Physical,1,100,10,0,Single exc. user,be,"As part of this attack’s use, user throws the item it’s holding at target and that item is consumed after damage calculation. T..."
Fly,FLYING,Physical,90,95,15,0,Single exc. user,abehln,"While using, user is unaffected by most attacks."
Focus Blast,FIGHTING,Special,120,70,5,10,Single exc. user,be,May lower the target’s Special Defense by 1 stage.
Focus Energy,NORMAL,Status,0,101,30,0,User,d,"During effect, attacks by the user have a heightened chance for a critical hit."
Focus Punch,FIGHTING,Physical,150,100,20,0,Single exc. user,abj,{ Fails if the user is damaged by an attack by another Pokémon this turn.} Priority level -3.
Follow Me,NORMAL,Status,0,101,20,0,User,,"If an opponent uses an attack with a range of ""single Pokémon except user"", ""single opposing Pokémon"", or ""opposing Pokémon cho..."
Force Palm,FIGHTING,Physical,60,100,10,30,Single exc. user,abe,May paralyze the target.
Foresight,NORMAL,Status,0,101,40,0,Single exc. user,bcep,"If target’s evasiveness stat stage is greater than 0, it is treated as 0 in accuracy checks against target. { Normal- and Fight..."
Foul Play,DARK,Physical,95,100,15,0,Single exc. user,abe,The target’s Attack stat and Attack stat stage are used as though they were the user’s in damage calculation.
Freeze Shock,ICE,Physical,140,90,5,30,Single exc. user,beh,May paralyze the target.
Frenzy Plant,GRASS,Special,150,90,5,0,Single exc. user,bei,
Frost Breath,ICE,Special,40,90,10,100,Single exc. user,be,Always causes a critical hit unless an effect prevents it from causing critical hits.
Frustration,NORMAL,Physical,1,100,20,0,Single exc. user,abe,"This attack’s power equals int((255-User’s friendship)*2/5) or 1, whichever is greater."
Fury Attack,NORMAL,Physical,15,85,20,0,Single exc. user,abe,Multi-hit attack. Attacks two to five times in a row. 35% chance for two or three times; 15% chance for four or five times.
Fury Cutter,BUG,Physical,20,95,20,0,Single exc. user,abe,"A multiplier, X, is doubled if successful, up to a maximum of 8. Power is multiplied by X. X is reset to 1 when user leaves bat..."
Fury Swipes,NORMAL,Physical,18,80,15,0,Single exc. user,abe,Multi-hit attack. Attacks two to five times in a row. 35% chance for two or three times; 15% chance for four or five times.
Fusion Bolt,ELECTRIC,Physical,100,100,5,0,Single exc. user,be,"Power is doubled if the last move used by a Pokémon this turn was Fusion Flare, was successful, and wasn’t used by another move."
Fusion Flare,FIRE,Special,100,100,5,0,Single exc. user,bem,"Power is doubled if the last move used by a Pokémon this turn was Fusion Bolt, was successful, and wasn’t used by another move."
Future Sight,PSYCHIC,Special,100,100,10,0,Single exc. user,,"Has no immediate effect when used. For three turns, after the last turn, if there’s a Pokémon at the position target had when t..."
Gastro Acid,POISON,Status,0,100,10,0,Single exc. user,bce,"During effect, effects from the target’s Ability are not applied."
Gear Grind,STEEL,Physical,50,85,15,0,Single exc. user,abe,Attacks twice in a row.
Giga Drain,GRASS,Special,75,100,10,0,Single exc. user,be,"If target loses HP because of this attack, user gains half that much HP."
Giga Impact,NORMAL,Physical,150,90,5,0,Single exc. user,abei,
Glaciate,ICE,Special,65,95,10,100,All opposing Pokémon,be,May lower the target’s Speed by 1 stage.
Glare,NORMAL,Status,0,90,30,0,Single exc. user,bce,Paralyzes the target.
Grass Knot,GRASS,Special,1,100,20,0,Single exc. user,abe,"Power is 20 if target’s weight is less than 10 kilograms, else 40 if less than 25 kg, else 60 if less than 50 kg, else 80 if le..."
Grass Pledge,GRASS,Special,50,100,10,0,Single exc. user,be,"If at least one ally of user that strikes after user has chosen Water Pledge or Fire Pledge for use this turn, and such a move..."
GrassWhistle,GRASS,Status,0,55,15,0,Single exc. user,bcek,Puts the target to sleep.
Gravity,PSYCHIC,Status,0,101,5,0,Both sides,,"For five turns, when this attack is used, the effects of Bounce, Fly, Magnet Rise, Sky Drop, and Telekinesis end for all Pokémo..."
Growl,NORMAL,Status,0,100,40,0,All opposing Pokémon,bcek,Lowers the target’s Attack by 1 stage.
Growth,NORMAL,Status,0,101,40,0,User,d,Raises user’s Attack and Special Attack by 2 stages each if Sunny Day is in effect; otherwise 1 stage each.
Grudge,GHOST,Status,0,101,5,0,User,p,"Until user’s next attack, if an attack by an opponent against user causes user to faint, the PP of the move that attack’s user..."
Guard Split,PSYCHIC,Status,0,101,10,0,Single exc. user,b,User’s Defense stat and target’s Defense stat become the average of user’s and target’s Defense stats. User’s Sp. Def stat and...
Guard Swap,PSYCHIC,Status,0,101,10,0,Single exc. user,bep,"User adopts target’s current Defense and Sp. Def stat stages, and target adopts user’s current Defense and Sp. Def stat stages."
Guillotine,NORMAL,Physical,1,30,5,0,Single exc. user,abe,One-hit KO. Ineffective if target’s level is higher than the user’s level.
Gunk Shot,POISON,Physical,120,70,5,30,Single exc. user,be,May poison the target.
Gust,FLYING,Special,40,100,35,0,Single exc. user,ben,"Power is doubled if the target is using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop."
Gyro Ball,STEEL,Physical,1,100,5,0,Single exc. user,abe,"This attack’s power equals int((the target’s current Speed*25)/max(user’s current Speed,1))+1, or 150, whichever is less."
Hail,ICE,Status,0,101,10,0,Both sides,,"Weather. For five turns, after each turn except the last, each Pokémon in battle that isn’t rotated out, except Ice types, lose..."
Hammer Arm,FIGHTING,Physical,100,90,10,100,Single exc. user,abej,Lowers user’s Speed by 1 stage if this attack is successful.
Harden,NORMAL,Status,0,101,30,0,User,d,Raises user’s Defense by 1 stage.
Haze,ICE,Status,0,101,30,0,Both sides,,Resets all stat stages on each Pokémon in battle that isn’t rotated out to zero.
Head Charge,NORMAL,Physical,120,100,15,0,Single exc. user,abe,"If target loses HP because of this attack, user loses 1/4 that much HP."
Head Smash,ROCK,Physical,150,80,5,0,Single exc. user,abe,"If target loses HP because of this attack, user loses half that much HP."
Headbutt,NORMAL,Physical,70,100,15,30,Single exc. user,abe,May make the target flinch.
Heal Bell,NORMAL,Status,0,101,5,0,User and allies,dk,"Each Pokémon (both in battle and not in battle) on the user’s side stops being poisoned, burned, paralyzed, frozen, and asleep."
Heal Block,PSYCHIC,Status,0,100,15,0,All opposing Pokémon,bce,"For five turns, healing moves can’t be used or chosen for use by target. If an effect would cause target to gain HP, it gains n..."
Heal Order,BUG,Status,0,101,10,0,User,do,User gains half of its maximum HP.
Heal Pulse,PSYCHIC,Status,0,101,10,0,Single exc. user,bcno,The target gains half of its maximum HP.
Healing Wish,PSYCHIC,Status,0,101,10,0,User,do,"User faints as part of this attack’s use. The next time there’s a Pokémon at the position user had when it used this attack, it..."
Heart Stamp,PSYCHIC,Physical,60,100,25,30,Single exc. user,abe,May make the target flinch.
Heart Swap,PSYCHIC,Status,0,101,10,0,Single exc. user,bep,"Simultaneously, user adopts the target’s current stat stages, and the target adopts user’s current stat stages."
Heat Crash,FIRE,Physical,1,100,10,0,Single exc. user,abe,"If user’s weight divided by target’s weight, is 5 or greater, power is 120; else 100 if it’s 4; else 80 if it’s 3; else 60 if i..."
Heat Wave,FIRE,Special,100,90,10,10,All opposing Pokémon,be,May burn the target.
Heavy Slam,STEEL,Physical,1,100,10,0,Single exc. user,abe,"If user’s weight divided by target’s weight, is 5 or greater, power is 120; else 100 if it’s 4; else 80 if it’s 3; else 60 if i..."
Helping Hand,NORMAL,Status,0,101,20,0,Ally,p,Power of attacks by the target this turn is multiplied by 1.5. Priority level 5.
Hex,GHOST,Special,50,100,10,0,Single exc. user,be,"Power is doubled if the target is poisoned, burned, paralyzed, frozen, or asleep."
Hi Jump Kick,FIGHTING,Physical,130,90,10,0,Single exc. user,abel,"If the target avoids this attack, user loses half of its maximum HP."
Hidden Power,NORMAL,Special,1,100,15,0,Single exc. user,be,Power and type vary depending on the user’s individual values.
Hone Claws,DARK,Status,0,101,15,0,User,d,Raises user’s Attack and accuracy by 1 stage.
Horn Attack,NORMAL,Physical,65,100,25,0,Single exc. user,abe,
Horn Drill,NORMAL,Physical,1,30,5,0,Single exc. user,abe,One-hit KO. Ineffective if target’s level is higher than the user’s level.
Horn Leech,GRASS,Physical,75,100,10,0,Single exc. user,abe,"If target loses HP because of this attack, user gains half that much HP."
Howl,NORMAL,Status,0,101,40,0,User,d,Raises user’s Attack by 1 stage.
Hurricane,FLYING,Special,120,70,10,30,Single exc. user,ben,"May confuse target. Accuracy is 50 during Sunny Day. During Rain Dance, can’t be evaded. Can hit target even if it is using Bou..."
Hydro Cannon,WATER,Special,150,90,5,0,Single exc. user,bei,
Hydro Pump,WATER,Special,120,80,5,0,Single exc. user,be,
Hyper Beam,NORMAL,Special,150,90,5,0,Single exc. user,bei,
Hyper Fang,NORMAL,Physical,80,90,15,10,Single exc. user,abe,May make the target flinch.
Hyper Voice,NORMAL,Special,90,100,10,0,All opposing Pokémon,bek,
Hypnosis,PSYCHIC,Status,0,60,20,0,Single exc. user,bce,Puts the target to sleep.
Ice Ball,ICE,Physical,30,90,20,0,Single exc. user,abe,"User uses this attack for up to five turns, and its power doubles each time it’s successful until it stops."
Ice Beam,ICE,Special,95,100,10,10,Single exc. user,be,May freeze the target.
Ice Burn,ICE,Special,140,90,5,30,Single exc. user,beh,May burn the target.
