Name,Type,Power,Accuracy,PP,Effect%,Target,Flags,Description
Protect,NORMAL,0,0,10,0,User,,User avoids certain attacks used this turn by other Pokémon. Can fail if used multiple times in a row.
Psybeam,PSYCHIC,65,100,20,10,Single exc. user,be,May confuse the target.
Psych Up,NORMAL,0,0,10,0,Single exc. user,d,User adopts all of the target’s current stat stages.
Psychic,PSYCHIC,90,100,10,10,Single exc. user,be,May lower the target’s Special Defense by 1 stage.
Psycho Boost,PSYCHIC,140,90,5,100,Single exc. user,bef,Lowers user’s Special Attack by 2 stages if this attack is successful.
Psywave,PSYCHIC,1,80,15,0,Single exc. user,bef,Deals damage ranging from 50% to 150% of the user’s level.
Pursuit,DARK,40,100,20,0,Single exc. user,abe,"When target switches, if user chose this move for use and target is one of user’s opposing Pokémon, and if user is not asleep,..."
Quick Attack,NORMAL,40,100,30,0,Single exc. user,abef,Priority level 1.
Rage,NORMAL,20,100,20,0,Single exc. user,abef,"After user uses this attack, damage the user takes raises the user’s Attack until it stops choosing this move."
Rain Dance,WATER,0,0,5,0,User,,"Weather. For five turns, damage from Water-type attacks is multiplied by 1.5, and damage from Fire-type attacks is halved."
Rapid Spin,NORMAL,20,100,40,0,Single exc. user,abef,"If successful, effects of multi-turn attacks and Leech Seed end against the user, and effect of Spikes on the user’s side ends."
Razor Leaf,GRASS,55,95,25,0,All opposing Pokémon,bef,Good chance for a critical hit.
Razor Wind,NORMAL,80,100,10,0,All opposing Pokémon,bef,Two-turn attack.
Recover,NORMAL,0,0,20,0,User,d,User gains half of its maximum HP. Does nothing if user’s HP is full.
Recycle,NORMAL,0,100,10,0,User,,"If user has no item, user receives the last item that was consumed this battle and was held by a Pokémon at user’s position jus..."
Reflect,PSYCHIC,0,0,20,0,User,d,"For five turns, physical attacks deal less damage to Pokémon on the user’s side."
Refresh,NORMAL,0,100,20,0,User,d,"User is cured of burns, poison, and paralysis."
Rest,PSYCHIC,0,0,10,0,User,d,"User gains all HP; user sleeps with a sleep count of 3, even if user is poisoned, burned, paralyzed, frozen, or asleep."
Return,NORMAL,1,100,20,0,Single exc. user,abef,"This attack’s power is (user’s friendship * 10 / 25) or 1, whichever is greater."
Revenge,FIGHTING,60,100,10,0,Single exc. user,abef,Damage is doubled if user lost HP because of a damaging attack by a Pokémon at target’s position this turn and that Pokémon was...
Reversal,FIGHTING,1,100,15,0,Single exc. user,abef,This attack’s power is greater the less HP the user has.
Roar,NORMAL,0,100,20,0,Single exc. user,be,"Ends wild Pokémon battles. In Trainer battles, replaces target with a random unfainted non-Egg Pokémon not in battle with the s..."
Rock Blast,ROCK,25,80,10,0,Single exc. user,bef,Multi-hit attack. Attacks two to five times in a row. 37.5% chance for two or three times; 12.5% chance for four or five times.
Rock Slide,ROCK,75,90,10,30,All opposing Pokémon,be,May make the target flinch.
Rock Smash,FIGHTING,20,100,15,50,Single exc. user,abe,May lower the target’s Defense by 1 stage.
Rock Throw,ROCK,50,90,15,0,Single exc. user,bef,
Rock Tomb,ROCK,50,80,10,100,Single exc. user,be,May lower the target’s Speed by 1 stage.
Role Play,PSYCHIC,0,100,10,0,Single exc. user,,Changes user’s ability to that of the target.
Rolling Kick,FIGHTING,60,85,15,30,Single exc. user,abef,May make the target flinch.
Rollout,ROCK,30,90,20,0,Single exc. user,abef,"If successful and isn’t already in effect, the effect begins and X is set to 2. User uses this attack during each of its attack..."
Sacred Fire,FIRE,100,95,5,50,Single exc. user,be,"May burn target. If user is frozen and it would use this attack at the beginning of its attack segment, it becomes defrosted be..."
Safeguard,NORMAL,0,0,25,0,User,d,"For five turns, each Pokémon on user’s side is protected from status problems and confusion from other Pokémon."
Sand Tomb,GROUND,15,70,15,100,Single exc. user,bef,"Multi-turn attack. For three to six turns, the target can’t switch out or run, and after each turn except the last, target lose..."
Sand-Attack,GROUND,0,100,15,0,Single exc. user,bce,Lowers the target’s accuracy by 1 stage.
Sandstorm,ROCK,0,0,10,0,User,,"Weather. For five turns, after each turn except the last, each Pokémon in battle, except Ground, Rock, and Steel types, loses 1..."
