NUMBER,NAME,TYPE1,TYPE2,ABIILITY1,ABILITY2,HIDDEN_ABILITY,WEIGHT_KG,CATCH_RATE,BASE_HAPPINESS,HP,ATK,DEF,SPATK,SPDEF,SPD,EXP_CURVE,BASE_EXP,HP EV,ATK EV,DEF EV,SPATK EV,SPDEF EV,SPD EV
52,MEOWTH,NORMAL,,,,,4.2,255,70,40,45,35,40,40,90,MEDIUM_FAST,69,40,45,35,40,40,90
53,PERSIAN,NORMAL,,,,,32,90,70,65,70,60,65,65,115,MEDIUM_FAST,148,65,70,60,65,65,115
54,PSYDUCK,WATER,,,,,19.6,190,70,50,52,48,50,50,55,MEDIUM_FAST,80,50,52,48,50,50,55
55,GOLDUCK,WATER,,,,,76.6,75,70,80,82,78,80,80,85,MEDIUM_FAST,174,80,82,78,80,80,85
56,MANKEY,FIGHTING,,,,,28,190,70,40,80,35,35,35,70,MEDIUM_FAST,74,40,80,35,35,35,70
57,PRIMEAPE,FIGHTING,,,,,32,75,70,65,105,60,60,60,95,MEDIUM_FAST,149,65,105,60,60,60,95
58,GROWLITHE,FIRE,,,,,19,190,70,55,70,45,50,50,60,SLOW,91,55,70,45,50,50,60
59,ARCANINE,FIRE,,,,,155,75,70,90,110,80,80,80,95,SLOW,213,90,110,80,80,80,95
60,POLIWAG,WATER,,,,,12.4,255,70,40,50,40,40,40,90,MEDIUM_SLOW,77,40,50,40,40,40,90
61,POLIWHIRL,WATER,,,,,20,120,70,65,65,65,50,50,90,MEDIUM_SLOW,131,65,65,65,50,50,90
62,POLIWRATH,WATER,FIGHTING,,,,54,45,70,90,85,95,70,70,70,MEDIUM_SLOW,185,90,85,95,70,70,70
63,ABRA,PSYCHIC,,,,,19.5,200,70,25,20,15,105,105,90,MEDIUM_SLOW,73,25,20,15,105,105,90
64,KADABRA,PSYCHIC,,,,,56.5,100,70,40,35,30,120,120,105,MEDIUM_SLOW,145,40,35,30,120,120,105
65,ALAKAZAM,PSYCHIC,,,,,48,50,70,55,50,45,135,135,120,MEDIUM_SLOW,186,55,50,45,135,135,120
66,MACHOP,FIGHTING,,,,,19.5,180,70,70,80,50,35,35,35,MEDIUM_SLOW,88,70,80,50,35,35,35
67,MACHOKE,FIGHTING,,,,,70.5,90,70,80,100,70,50,50,45,MEDIUM_SLOW,146,80,100,70,50,50,45
68,MACHAMP,FIGHTING,,,,,130,45,70,90,130,80,65,65,55,MEDIUM_SLOW,193,90,130,80,65,65,55
69,BELLSPROUT,GRASS,POISON,,,,4,255,70,50,75,35,70,70,40,MEDIUM_SLOW,84,50,75,35,70,70,40
70,WEEPINBELL,GRASS,POISON,,,,6.4,120,70,65,90,50,85,85,55,MEDIUM_SLOW,151,65,90,50,85,85,55
71,VICTREEBEL,GRASS,POISON,,,,15.5,45,70,80,105,65,100,100,70,MEDIUM_SLOW,191,80,105,65,100,100,70
72,TENTACOOL,WATER,POISON,,,,45.5,190,70,40,40,35,100,100,70,SLOW,105,40,40,35,100,100,70
73,TENTACRUEL,WATER,POISON,,,,55,60,70,80,70,65,120,120,100,SLOW,205,80,70,65,120,120,100
74,GEODUDE,ROCK,GROUND,,,,20,255,70,40,80,100,30,30,20,MEDIUM_SLOW,86,40,80,100,30,30,20
75,GRAVELER,ROCK,GROUND,,,,105,120,70,55,95,115,45,45,35,MEDIUM_SLOW,134,55,95,115,45,45,35
76,GOLEM,ROCK,GROUND,,,,300,45,70,80,110,130,55,55,45,MEDIUM_SLOW,177,80,110,130,55,55,45
77,PONYTA,FIRE,,,,,30,190,70,50,85,55,65,65,90,MEDIUM_FAST,152,50,85,55,65,65,90
78,RAPIDASH,FIRE,,,,,95,60,70,65,100,70,80,80,105,MEDIUM_FAST,192,65,100,70,80,80,105
79,SLOWPOKE,WATER,PSYCHIC,,,,36,190,70,90,65,65,40,40,15,MEDIUM_FAST,99,90,65,65,40,40,15
80,SLOWBRO,WATER,PSYCHIC,,,,78.5,75,70,95,75,110,80,80,30,MEDIUM_FAST,164,95,75,110,80,80,30
81,MAGNEMITE,ELECTRIC,,,,,6,190,70,25,35,70,95,95,45,MEDIUM_FAST,89,25,35,70,95,95,45
82,MAGNETON,ELECTRIC,,,,,60,60,70,50,60,95,120,120,70,MEDIUM_FAST,161,50,60,95,120,120,70
83,FARFETCH'D,NORMAL,FLYING,,,,15,45,70,52,65,55,58,58,60,MEDIUM_FAST,94,52,65,55,58,58,60
84,DODUO,NORMAL,FLYING,,,,39.2,190,70,35,85,45,35,35,75,MEDIUM_FAST,96,35,85,45,35,35,75
85,DODRIO,NORMAL,FLYING,,,,85.2,45,70,60,110,70,60,60,100,MEDIUM_FAST,158,60,110,70,60,60,100
86,SEEL,WATER,,,,,90,190,70,65,45,55,70,70,45,MEDIUM_FAST,100,65,45,55,70,70,45
87,DEWGONG,WATER,ICE,,,,120,75,70,90,70,80,95,95,70,MEDIUM_FAST,176,90,70,80,95,95,70
88,GRIMER,POISON,,,,,30,190,70,80,80,50,40,40,25,MEDIUM_FAST,90,80,80,50,40,40,25
89,MUK,POISON,,,,,30,75,70,105,105,75,65,65,50,MEDIUM_FAST,157,105,105,75,65,65,50
90,SHELLDER,WATER,,,,,4,190,70,30,65,100,45,45,40,SLOW,97,30,65,100,45,45,40
91,CLOYSTER,WATER,ICE,,,,132.5,60,70,50,95,180,85,85,70,SLOW,203,50,95,180,85,85,70
92,GASTLY,GHOST,POISON,,,,0.1,190,70,30,35,30,100,100,80,MEDIUM_SLOW,95,30,35,30,100,100,80
93,HAUNTER,GHOST,POISON,,,,0.1,90,70,45,50,45,115,115,95,MEDIUM_SLOW,126,45,50,45,115,115,95
94,GENGAR,GHOST,POISON,,,,40.5,45,70,60,65,60,130,130,110,MEDIUM_SLOW,190,60,65,60,130,130,110
95,ONIX,ROCK,GROUND,,,,210,45,70,35,45,160,30,30,70,MEDIUM_FAST,108,35,45,160,30,30,70
96,DROWZEE,PSYCHIC,,,,,32.4,190,70,60,48,45,90,90,42,MEDIUM_FAST,102,60,48,45,90,90,42
97,HYPNO,PSYCHIC,,,,,75.6,75,70,85,73,70,115,115,67,MEDIUM_FAST,165,85,73,70,115,115,67
98,KRABBY,WATER,,,,,6.5,225,70,30,105,90,25,25,50,MEDIUM_FAST,115,30,105,90,25,25,50
99,KINGLER,WATER,,,,,60,60,70,55,130,115,50,50,75,MEDIUM_FAST,206,55,130,115,50,50,75
100,VOLTORB,ELECTRIC,,,,,10.4,190,70,40,30,50,55,55,100,MEDIUM_FAST,103,40,30,50,55,55,100
101,ELECTRODE,ELECTRIC,,,,,66.6,60,70,60,50,70,80,80,140,MEDIUM_FAST,150,60,50,70,80,80,140
102,EXEGGCUTE,GRASS,PSYCHIC,,,,2.5,90,70,60,40,80,60,60,40,SLOW,98,60,40,80,60,60,40
103,EXEGGUTOR,GRASS,PSYCHIC,,,,120,45,70,95,95,85,125,125,55,SLOW,212,95,95,85,125,125,55
104,CUBONE,GROUND,,,,,6.5,190,70,50,50,95,40,40,35,MEDIUM_FAST,87,50,50,95,40,40,35
105,MAROWAK,GROUND,,,,,45,75,70,60,80,110,50,50,45,MEDIUM_FAST,124,60,80,110,50,50,45
106,HITMONLEE,FIGHTING,,,,,49.8,45,70,50,120,53,35,35,87,MEDIUM_FAST,139,50,120,53,35,35,87
107,HITMONCHAN,FIGHTING,,,,,50.2,45,70,50,105,79,35,35,76,MEDIUM_FAST,140,50,105,79,35,35,76
108,LICKITUNG,NORMAL,,,,,65.5,45,70,90,55,75,60,60,30,MEDIUM_FAST,127,90,55,75,60,60,30
109,KOFFING,POISON,,,,,1,190,70,40,65,95,60,60,35,MEDIUM_FAST,114,40,65,95,60,60,35
110,WEEZING,POISON,,,,,9.5,60,70,65,90,120,85,85,60,MEDIUM_FAST,173,65,90,120,85,85,60
111,RHYHORN,GROUND,ROCK,,,,115,120,70,80,85,95,30,30,25,SLOW,135,80,85,95,30,30,25
112,RHYDON,GROUND,ROCK,,,,120,60,70,105,130,120,45,45,40,SLOW,204,105,130,120,45,45,40
113,CHANSEY,NORMAL,,,,,34.6,30,140,250,5,5,105,105,50,FAST,255,250,5,5,105,105,50
114,TANGELA,GRASS,,,,,35,45,70,65,55,115,100,100,60,MEDIUM_FAST,166,65,55,115,100,100,60
115,KANGASKHAN,NORMAL,,,,,80,45,70,105,95,80,40,40,90,MEDIUM_FAST,175,105,95,80,40,40,90
116,HORSEA,WATER,,,,,8,225,70,30,40,70,70,70,60,MEDIUM_FAST,83,30,40,70,70,70,60
117,SEADRA,WATER,,,,,25,75,70,55,65,95,95,95,85,MEDIUM_FAST,155,55,65,95,95,95,85
118,GOLDEEN,WATER,,,,,15,225,70,45,67,60,50,50,63,MEDIUM_FAST,111,45,67,60,50,50,63
119,SEAKING,WATER,,,,,39,60,70,80,92,65,80,80,68,MEDIUM_FAST,170,80,92,65,80,80,68
120,STARYU,WATER,,,,,34.5,225,70,30,45,55,70,70,85,SLOW,106,30,45,55,70,70,85
121,STARMIE,WATER,PSYCHIC,,,,80,60,70,60,75,85,100,100,115,SLOW,207,60,75,85,100,100,115
122,MRMIME,PSYCHIC,,,,,54.5,45,70,40,45,65,100,100,90,MEDIUM_FAST,136,40,45,65,100,100,90
123,SCYTHER,BUG,FLYING,,,,56,45,70,70,110,80,55,55,105,MEDIUM_FAST,187,70,110,80,55,55,105
124,JYNX,ICE,PSYCHIC,,,,40.6,45,70,65,50,35,95,95,95,MEDIUM_FAST,137,65,50,35,95,95,95
125,ELECTABUZZ,ELECTRIC,,,,,30,45,70,65,83,57,85,85,105,MEDIUM_FAST,156,65,83,57,85,85,105
126,MAGMAR,FIRE,,,,,44.5,45,70,65,95,57,85,85,93,MEDIUM_FAST,167,65,95,57,85,85,93
127,PINSIR,BUG,,,,,55,45,70,65,125,100,55,55,85,SLOW,200,65,125,100,55,55,85
128,TAUROS,NORMAL,,,,,88.4,45,70,75,100,95,70,70,110,SLOW,211,75,100,95,70,70,110
129,MAGIKARP,WATER,,,,,10,255,70,20,10,55,20,20,80,SLOW,20,20,10,55,20,20,80
130,GYARADOS,WATER,FLYING,,,,235,45,70,95,125,79,100,100,81,SLOW,214,95,125,79,100,100,81
131,LAPRAS,WATER,ICE,,,,220,45,70,130,85,80,95,95,60,SLOW,219,130,85,80,95,95,60
132,DITTO,NORMAL,,,,,4,35,70,48,48,48,48,48,48,MEDIUM_FAST,61,48,48,48,48,48,48
133,EEVEE,NORMAL,,,,,6.5,45,70,55,55,50,65,65,55,MEDIUM_FAST,92,55,55,50,65,65,55
134,VAPOREON,WATER,,,,,29,45,70,130,65,60,110,110,65,MEDIUM_FAST,196,130,65,60,110,110,65
135,JOLTEON,ELECTRIC,,,,,24.5,45,70,65,65,60,110,110,130,MEDIUM_FAST,197,65,65,60,110,110,130
136,FLAREON,FIRE,,,,,25,45,70,65,130,60,110,110,65,MEDIUM_FAST,198,65,130,60,110,110,65
137,PORYGON,NORMAL,,,,,36.5,45,70,65,60,70,75,75,40,MEDIUM_FAST,130,65,60,70,75,75,40
138,OMANYTE,ROCK,WATER,,,,7.5,45,70,35,40,100,90,90,35,MEDIUM_FAST,120,35,40,100,90,90,35
139,OMASTAR,ROCK,WATER,,,,35,45,70,70,60,125,115,115,55,MEDIUM_FAST,199,70,60,125,115,115,55
140,KABUTO,ROCK,WATER,,,,11.5,45,70,30,80,90,45,45,55,MEDIUM_FAST,119,30,80,90,45,45,55
141,KABUTOPS,ROCK,WATER,,,,40.5,45,70,60,115,105,70,70,80,MEDIUM_FAST,201,60,115,105,70,70,80
142,AERODACTYL,ROCK,FLYING,,,,59,45,70,80,105,65,60,60,130,SLOW,202,80,105,65,60,60,130
143,SNORLAX,NORMAL,,,,,460,25,70,160,110,65,65,65,30,SLOW,154,160,110,65,65,65,30
144,ARTICUNO,ICE,FLYING,,,,55.4,3,35,90,85,100,125,125,85,SLOW,215,90,85,100,125,125,85
145,ZAPDOS,ELECTRIC,FLYING,,,,52.6,3,35,90,90,85,125,125,100,SLOW,216,90,90,85,125,125,100
146,MOLTRES,FIRE,FLYING,,,,60,3,35,90,100,90,125,125,90,SLOW,217,90,100,90,125,125,90
147,DRATINI,DRAGON,,,,,3.3,45,35,41,64,45,50,50,50,SLOW,67,41,64,45,50,50,50
148,DRAGONAIR,DRAGON,,,,,16.5,45,35,61,84,65,70,70,70,SLOW,144,61,84,65,70,70,70
149,DRAGONITE,DRAGON,FLYING,,,,210,45,35,91,134,95,100,100,80,SLOW,218,91,134,95,100,100,80
150,MEWTWO,PSYCHIC,,,,,122,3,0,106,110,90,154,154,130,SLOW,220,106,110,90,154,154,130
151,MEW,PSYCHIC,,,,,4,45,100,100,100,100,100,100,100,MEDIUM_SLOW,64,100,100,100,100,100,100
