Number,Name,Type1,Type2,Ability1,Ability2,Hidden Ability,Weight (kg),Catch Rate,Base Happiness,HP,Attack,Defense,Special Attack,Special Defense,Speed,Exp. Curve,Base exp,HP Stat EXP,Attack  Stat EXP,Defense  Stat EXP,Special Attack  Stat EXP,Special Defense  Stat EXP,Speed  Stat EXP
60,Poliwag,Water,,,,,12.4,255,70,40,50,40,40,40,90,Medium Slow,77,40,50,40,40,40,90
61,Poliwhirl,Water,,,,,20,120,70,65,65,65,50,50,90,Medium Slow,131,65,65,65,50,50,90
62,Poliwrath,Water,Fighting,,,,54,45,70,90,85,95,70,70,70,Medium Slow,185,90,85,95,70,70,70
63,Abra,Psychic,,,,,19.5,200,70,25,20,15,105,105,90,Medium Slow,73,25,20,15,105,105,90
64,Kadabra,Psychic,,,,,56.5,100,70,40,35,30,120,120,105,Medium Slow,145,40,35,30,120,120,105
65,Alakazam,Psychic,,,,,48,50,70,55,50,45,135,135,120,Medium Slow,186,55,50,45,135,135,120
66,Machop,Fighting,,,,,19.5,180,70,70,80,50,35,35,35,Medium Slow,88,70,80,50,35,35,35
67,Machoke,Fighting,,,,,70.5,90,70,80,100,70,50,50,45,Medium Slow,146,80,100,70,50,50,45
68,Machamp,Fighting,,,,,130,45,70,90,130,80,65,65,55,Medium Slow,193,90,130,80,65,65,55
69,Bellsprout,Grass,Poison,,,,4,255,70,50,75,35,70,70,40,Medium Slow,84,50,75,35,70,70,40
70,Weepinbell,Grass,Poison,,,,6.4,120,70,65,90,50,85,85,55,Medium Slow,151,65,90,50,85,85,55
71,Victreebel,Grass,Poison,,,,15.5,45,70,80,105,65,100,100,70,Medium Slow,191,80,105,65,100,100,70
72,Tentacool,Water,Poison,,,,45.5,190,70,40,40,35,100,100,70,Slow,105,40,40,35,100,100,70
73,Tentacruel,Water,Poison,,,,55,60,70,80,70,65,120,120,100,Slow,205,80,70,65,120,120,100
74,Geodude,Rock,Ground,,,,20,255,70,40,80,100,30,30,20,Medium Slow,86,40,80,100,30,30,20
75,Graveler,Rock,Ground,,,,105,120,70,55,95,115,45,45,35,Medium Slow,134,55,95,115,45,45,35
76,Golem,Rock,Ground,,,,300,45,70,80,110,130,55,55,45,Medium Slow,177,80,110,130,55,55,45
77,Ponyta,Fire,,,,,30,190,70,50,85,55,65,65,90,Medium,152,50,85,55,65,65,90
78,Rapidash,Fire,,,,,95,60,70,65,100,70,80,80,105,Medium,192,65,100,70,80,80,105
79,Slowpoke,Water,Psychic,,,,36,190,70,90,65,65,40,40,15,Medium,99,90,65,65,40,40,15
80,Slowbro,Water,Psychic,,,,78.5,75,70,95,75,110,80,80,30,Medium,164,95,75,110,80,80,30
81,Magnemite,Electric,Steel,,,,6,190,70,25,35,70,95,95,45,Medium,89,25,35,70,95,95,45
82,Magneton,Electric,Steel,,,,60,60,70,50,60,95,120,120,70,Medium,161,50,60,95,120,120,70
83,Farfetch'd,Normal,Flying,,,,15,45,70,52,65,55,58,58,60,Medium,94,52,65,55,58,58,60
84,Doduo,Normal,Flying,,,,39.2,190,70,35,85,45,35,35,75,Medium,96,35,85,45,35,35,75
85,Dodrio,Normal,Flying,,,,85.2,45,70,60,110,70,60,60,100,Medium,158,60,110,70,60,60,100
86,Seel,Water,,,,,90,190,70,65,45,55,70,70,45,Medium,100,65,45,55,70,70,45
87,Dewgong,Water,Ice,,,,120,75,70,90,70,80,95,95,70,Medium,176,90,70,80,95,95,70
88,Grimer,Poison,,,,,30,190,70,80,80,50,40,40,25,Medium,90,80,80,50,40,40,25
89,Muk,Poison,,,,,30,75,70,105,105,75,65,65,50,Medium,157,105,105,75,65,65,50
90,Shellder,Water,,,,,4,190,70,30,65,100,45,45,40,Slow,97,30,65,100,45,45,40
91,Cloyster,Water,Ice,,,,132.5,60,70,50,95,180,85,85,70,Slow,203,50,95,180,85,85,70
92,Gastly,Ghost,Poison,,,,0.1,190,70,30,35,30,100,100,80,Medium Slow,95,30,35,30,100,100,80
93,Haunter,Ghost,Poison,,,,0.1,90,70,45,50,45,115,115,95,Medium Slow,126,45,50,45,115,115,95
94,Gengar,Ghost,Poison,,,,40.5,45,70,60,65,60,130,130,110,Medium Slow,190,60,65,60,130,130,110
95,Onix,Rock,Ground,,,,210,45,70,35,45,160,30,30,70,Medium,108,35,45,160,30,30,70
96,Drowzee,Psychic,,,,,32.4,190,70,60,48,45,90,90,42,Medium,102,60,48,45,90,90,42
97,Hypno,Psychic,,,,,75.6,75,70,85,73,70,115,115,67,Medium,165,85,73,70,115,115,67
98,Krabby,Water,,,,,6.5,225,70,30,105,90,25,25,50,Medium,115,30,105,90,25,25,50
99,Kingler,Water,,,,,60,60,70,55,130,115,50,50,75,Medium,206,55,130,115,50,50,75
100,Voltorb,Electric,,,,,10.4,190,70,40,30,50,55,55,100,Medium,103,40,30,50,55,55,100
101,Electrode,Electric,,,,,66.6,60,70,60,50,70,80,80,140,Medium,150,60,50,70,80,80,140
102,Exeggcute,Grass,Psychic,,,,2.5,90,70,60,40,80,60,60,40,Slow,98,60,40,80,60,60,40
103,Exeggutor,Grass,Psychic,,,,120,45,70,95,95,85,125,125,55,Slow,212,95,95,85,125,125,55
104,Cubone,Ground,,,,,6.5,190,70,50,50,95,40,40,35,Medium,87,50,50,95,40,40,35
105,Marowak,Ground,,,,,45,75,70,60,80,110,50,50,45,Medium,124,60,80,110,50,50,45
106,Hitmonlee,Fighting,,,,,49.8,45,70,50,120,53,35,35,87,Medium,139,50,120,53,35,35,87
107,Hitmonchan,Fighting,,,,,50.2,45,70,50,105,79,35,35,76,Medium,140,50,105,79,35,35,76
108,Lickitung,Normal,,,,,65.5,45,70,90,55,75,60,60,30,Medium,127,90,55,75,60,60,30
109,Koffing,Poison,,,,,1,190,70,40,65,95,60,60,35,Medium,114,40,65,95,60,60,35
110,Weezing,Poison,,,,,9.5,60,70,65,90,120,85,85,60,Medium,173,65,90,120,85,85,60
111,Rhyhorn,Ground,Rock,,,,115,120,70,80,85,95,30,30,25,Slow,135,80,85,95,30,30,25
112,Rhydon,Ground,Rock,,,,120,60,70,105,130,120,45,45,40,Slow,204,105,130,120,45,45,40
113,Chansey,Normal,,,,,34.6,30,140,250,5,5,105,105,50,Fast,255,250,5,5,105,105,50
114,Tangela,Grass,,,,,35,45,70,65,55,115,100,100,60,Medium,166,65,55,115,100,100,60
115,Kangaskhan,Normal,,,,,80,45,70,105,95,80,40,40,90,Medium,175,105,95,80,40,40,90
116,Horsea,Water,,,,,8,225,70,30,40,70,70,70,60,Medium,83,30,40,70,70,70,60
117,Seadra,Water,,,,,25,75,70,55,65,95,95,95,85,Medium,155,55,65,95,95,95,85
118,Goldeen,Water,,,,,15,225,70,45,67,60,50,50,63,Medium,111,45,67,60,50,50,63
119,Seaking,Water,,,,,39,60,70,80,92,65,80,80,68,Medium,170,80,92,65,80,80,68
120,Staryu,Water,,,,,34.5,225,70,30,45,55,70,70,85,Slow,106,30,45,55,70,70,85
121,Starmie,Water,Psychic,,,,80,60,70,60,75,85,100,100,115,Slow,207,60,75,85,100,100,115
122,Mr. Mime,Psychic,Fairy,,,,54.5,45,70,40,45,65,100,100,90,Medium,136,40,45,65,100,100,90
123,Scyther,Bug,Flying,,,,56,45,70,70,110,80,55,55,105,Medium,187,70,110,80,55,55,105
124,Jynx,Ice,Psychic,,,,40.6,45,70,65,50,35,95,95,95,Medium,137,65,50,35,95,95,95
125,Electabuzz,Electric,,,,,30,45,70,65,83,57,85,85,105,Medium,156,65,83,57,85,85,105
126,Magmar,Fire,,,,,44.5,45,70,65,95,57,85,85,93,Medium,167,65,95,57,85,85,93
127,Pinsir,Bug,,,,,55,45,70,65,125,100,55,55,85,Slow,200,65,125,100,55,55,85
128,Tauros,Normal,,,,,88.4,45,70,75,100,95,70,70,110,Slow,211,75,100,95,70,70,110
129,Magikarp,Water,,,,,10,255,70,20,10,55,20,20,80,Slow,20,20,10,55,20,20,80
130,Gyarados,Water,Flying,,,,235,45,70,95,125,79,100,100,81,Slow,214,95,125,79,100,100,81
131,Lapras,Water,Ice,,,,220,45,70,130,85,80,95,95,60,Slow,219,130,85,80,95,95,60
132,Ditto,Normal,,,,,4,35,70,48,48,48,48,48,48,Medium,61,48,48,48,48,48,48
133,Eevee,Normal,,,,,6.5,45,70,55,55,50,65,65,55,Medium,92,55,55,50,65,65,55
134,Vaporeon,Water,,,,,29,45,70,130,65,60,110,110,65,Medium,196,130,65,60,110,110,65
135,Jolteon,Electric,,,,,24.5,45,70,65,65,60,110,110,130,Medium,197,65,65,60,110,110,130
136,Flareon,Fire,,,,,25,45,70,65,130,60,110,110,65,Medium,198,65,130,60,110,110,65
137,Porygon,Normal,,,,,36.5,45,70,65,60,70,75,75,40,Medium,130,65,60,70,75,75,40
138,Omanyte,Rock,Water,,,,7.5,45,70,35,40,100,90,90,35,Medium,120,35,40,100,90,90,35
139,Omastar,Rock,Water,,,,35,45,70,70,60,125,115,115,55,Medium,199,70,60,125,115,115,55
140,Kabuto,Rock,Water,,,,11.5,45,70,30,80,90,45,45,55,Medium,119,30,80,90,45,45,55
141,Kabutops,Rock,Water,,,,40.5,45,70,60,115,105,70,70,80,Medium,201,60,115,105,70,70,80
142,Aerodactyl,Rock,Flying,,,,59,45,70,80,105,65,60,60,130,Slow,202,80,105,65,60,60,130
143,Snorlax,Normal,,,,,460,25,70,160,110,65,65,65,30,Slow,154,160,110,65,65,65,30
144,Articuno,Ice,Flying,,,,55.4,3,35,90,85,100,125,125,85,Slow,215,90,85,100,125,125,85
145,Zapdos,Electric,Flying,,,,52.6,3,35,90,90,85,125,125,100,Slow,216,90,90,85,125,125,100
146,Moltres,Fire,Flying,,,,60,3,35,90,100,90,125,125,90,Slow,217,90,100,90,125,125,90
147,Dratini,Dragon,,,,,3.3,45,35,41,64,45,50,50,50,Slow,67,41,64,45,50,50,50
148,Dragonair,Dragon,,,,,16.5,45,35,61,84,65,70,70,70,Slow,144,61,84,65,70,70,70
149,Dragonite,Dragon,Flying,,,,210,45,35,91,134,95,100,100,80,Slow,218,91,134,95,100,100,80
150,Mewtwo,Psychic,,,,,122,3,0,106,110,90,154,154,130,Slow,220,106,110,90,154,154,130
151,Mew,Psychic,,,,,4,45,100,100,100,100,100,100,100,Medium Slow,64,100,100,100,100,100,100
