Number,Name,Type1,Type2,Ability1,Ability2,Hidden Ability,Weight (kg),Catch Rate,Base Happiness,HP,Attack,Defense,Special Attack,Special Defense,Speed,Exp. Curve,Base exp,HP EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV
22,Fearow,Normal,Flying,Keen Eye,,Sniper,38,90,70,65,90,65,61,61,100,Medium,155,0,0,0,0,0,2
23,Ekans,Poison,,Intimidate,Unnerve,Shed Skin,6.9,255,70,35,60,44,40,54,55,Medium,58,0,1,0,0,0,0
24,Arbok,Poison,,Intimidate,Unnerve,Shed Skin,65,90,70,60,85,69,65,79,80,Medium,153,0,2,0,0,0,0
25,Pikachu,Electric,,Lightningrod,,Static,6,190,70,35,55,30,50,40,90,Medium,105,0,0,0,0,0,2
26,Raichu,Electric,,Lightningrod,,Static,30,75,70,60,90,55,90,80,100,Medium,214,0,0,0,0,0,3
27,Sandshrew,Ground,,Sand Rush,,Sand Veil,12,255,70,50,75,85,20,30,40,Medium,60,0,0,1,0,0,0
28,Sandslash,Ground,,Sand Rush,,Sand Veil,29.5,90,70,75,100,110,45,55,65,Medium,158,0,0,2,0,0,0
29,Nidoranf,Poison,,Hustle,Rivalry,Poison Point,7,235,70,55,47,52,40,40,41,Medium Slow,55,1,0,0,0,0,0
30,Nidorina,Poison,,Hustle,Rivalry,Poison Point,20,120,70,70,62,67,55,55,56,Medium Slow,128,2,0,0,0,0,0
31,Nidoqueen,Poison,Ground,Poison Point,Sheer Force,Rivalry,60,45,70,90,82,87,75,85,76,Medium Slow,223,3,0,0,0,0,0
32,Nidoranm,Poison,,Hustle,Rivalry,Poison Point,9,235,70,46,57,40,40,40,50,Medium Slow,55,0,1,0,0,0,0
33,Nidorino,Poison,,Hustle,Rivalry,Poison Point,19.5,120,70,61,72,57,55,55,65,Medium Slow,128,0,2,0,0,0,0
34,Nidoking,Poison,Ground,Poison Point,Sheer Force,Rivalry,62,45,70,81,92,77,85,75,85,Medium Slow,223,0,3,0,0,0,0
35,Clefairy,Fairy,,Cute Charm,Magic Guard,Friend Guard,7.5,150,140,70,45,48,60,65,35,Fast,113,2,0,0,0,0,0
36,Clefable,Fairy,,Cute Charm,Unaware,Magic Guard,40,25,140,95,70,73,85,90,60,Fast,213,3,0,0,0,0,0
37,Vulpix,Fire,,Drought,,Flash Fire,9.9,190,70,38,41,40,50,65,65,Medium,60,0,0,0,0,0,1
38,Ninetales,Fire,,Drought,,Flash Fire,19.9,75,70,73,76,75,81,100,100,Medium,177,0,0,0,0,1,1
39,Jigglypuff,Normal,Fairy,Cute Charm,,Friend Guard,5.5,170,70,115,45,20,45,25,20,Fast,95,2,0,0,0,0,0
40,Wigglytuff,Normal,Fairy,Cute Charm,,Frisk,12,50,70,140,70,45,75,50,45,Fast,191,3,0,0,0,0,0
41,Zubat,Poison,Flying,Infiltrator,,Inner Focus,7.5,255,70,40,45,35,30,40,55,Medium,49,0,0,0,0,0,1
42,Golbat,Poison,Flying,Infiltrator,,Inner Focus,55,90,70,75,80,70,65,75,90,Medium,159,0,0,0,0,0,2
43,Oddish,Grass,Poison,Chlorophyll,,Run Away,5.4,255,70,45,50,55,75,65,30,Medium Slow,64,0,0,0,1,0,0
44,Gloom,Grass,Poison,Chlorophyll,,Stench,8.6,120,70,60,65,70,85,75,40,Medium Slow,138,0,0,0,2,0,0
45,Vileplume,Grass,Poison,Chlorophyll,,Effect Spore,18.6,45,70,75,80,85,100,90,50,Medium Slow,216,0,0,0,3,0,0
46,Paras,Bug,Grass,Damp,Effect Spore,Dry Skin,5.4,190,70,35,70,55,45,55,25,Medium,57,0,1,0,0,0,0
47,Parasect,Bug,Grass,Damp,Effect Spore,Dry Skin,29.5,75,70,60,95,80,60,80,30,Medium,142,0,2,1,0,0,0
48,Venonat,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,30,190,70,60,55,50,40,55,45,Medium,61,0,0,0,0,1,0
49,Venomoth,Bug,Poison,Shield Dust,Wonder Skin,Tinted Lens,12.5,75,70,70,65,60,90,75,90,Medium,158,0,0,0,1,0,1
50,Diglett,Ground,,Arena Trap,Sand Veil,Sand Force,0.8,255,70,10,55,25,35,45,95,Medium,53,0,0,0,0,0,1
51,Dugtrio,Ground,,Arena Trap,Sand Veil,Sand Force,33.3,50,70,35,80,50,50,70,120,Medium,142,0,0,0,0,0,2
52,Meowth,Normal,,Pickup,Unnerve,Technician,4.2,255,70,40,45,35,40,40,90,Medium,58,0,0,0,0,0,1
53,Persian,Normal,,Limber,Unnerve,Technician,32,90,70,65,70,60,65,65,115,Medium,154,0,0,0,0,0,2
54,Psyduck,Water,,Cloud Nine,Swift Swim,Damp,19.6,190,70,50,52,48,65,50,55,Medium,64,0,0,0,1,0,0
55,Golduck,Water,,Cloud Nine,Swift Swim,Damp,76.6,75,70,80,82,78,95,80,85,Medium,175,0,0,0,2,0,0
56,Mankey,Fighting,,Anger Point,Vital Spirit,Defiant,28,190,70,40,80,35,35,45,70,Medium,61,0,1,0,0,0,0
57,Primeape,Fighting,,Anger Point,Vital Spirit,Defiant,32,75,70,65,105,60,60,70,95,Medium,159,0,2,0,0,0,0
58,Growlithe,Fire,,Flash Fire,Justified,Intimidate,19,190,70,55,70,45,70,50,60,Slow,70,0,1,0,0,0,0
59,Arcanine,Fire,,Flash Fire,Justified,Intimidate,155,75,70,90,110,80,100,80,95,Slow,194,0,2,0,0,0,0
60,Poliwag,Water,,Damp,Water Absorb,Swift Swim,12.4,255,70,40,50,40,40,40,90,Medium Slow,60,0,0,0,0,0,1
61,Poliwhirl,Water,,Damp,Water Absorb,Swift Swim,20,120,70,65,65,65,50,50,90,Medium Slow,135,0,0,0,0,0,2
62,Poliwrath,Water,Fighting,Damp,Water Absorb,Swift Swim,54,45,70,90,85,95,70,90,70,Medium Slow,225,0,0,3,0,0,0
63,Abra,Psychic,,Inner Focus,Synchronize,Magic Guard,19.5,200,70,25,20,15,105,55,90,Medium Slow,62,0,0,0,1,0,0
64,Kadabra,Psychic,,Inner Focus,Synchronize,Magic Guard,56.5,100,70,40,35,30,120,70,105,Medium Slow,140,0,0,0,2,0,0
65,Alakazam,Psychic,,Inner Focus,Synchronize,Magic Guard,48,50,70,55,50,45,135,85,120,Medium Slow,221,0,0,0,3,0,0
66,Machop,Fighting,,Guts,Steadfast,No Guard,19.5,180,70,70,80,50,35,35,35,Medium Slow,61,0,1,0,0,0,0
67,Machoke,Fighting,,Guts,Steadfast,No Guard,70.5,90,70,80,100,70,50,60,45,Medium Slow,142,0,2,0,0,0,0
68,Machamp,Fighting,,Guts,Steadfast,No Guard,130,45,70,90,130,80,65,85,55,Medium Slow,227,0,3,0,0,0,0
69,Bellsprout,Grass,Poison,Chlorophyll,,Gluttony,4,255,70,50,75,35,70,30,40,Medium Slow,60,0,1,0,0,0,0
70,Weepinbell,Grass,Poison,Chlorophyll,,Gluttony,6.4,120,70,65,90,50,85,45,55,Medium Slow,137,0,2,0,0,0,0
71,Victreebel,Grass,Poison,Chlorophyll,,Gluttony,15.5,45,70,80,105,65,100,60,70,Medium Slow,216,0,3,0,0,0,0
72,Tentacool,Water,Poison,Clear Body,Rain Dish,Liquid Ooze,45.5,190,70,40,40,35,50,100,70,Slow,67,0,0,0,0,1,0
73,Tentacruel,Water,Poison,Clear Body,Rain Dish,Liquid Ooze,55,60,70,80,70,65,80,120,100,Slow,180,0,0,0,0,2,0
74,Geodude,Rock,Ground,Rock Head,Sturdy,Sand Veil,20,255,70,40,80,100,30,30,20,Medium Slow,60,0,0,1,0,0,0
75,Graveler,Rock,Ground,Rock Head,Sturdy,Sand Veil,105,120,70,55,95,115,45,45,35,Medium Slow,137,0,0,2,0,0,0
76,Golem,Rock,Ground,Rock Head,Sturdy,Sand Veil,300,45,70,80,110,130,55,65,45,Medium Slow,218,0,0,3,0,0,0
77,Ponyta,Fire,,Flame Body,Run Away,Flash Fire,30,190,70,50,85,55,65,65,90,Medium,82,0,0,0,0,0,1
78,Rapidash,Fire,,Flame Body,Run Away,Flash Fire,95,60,70,65,100,70,80,80,105,Medium,175,0,0,0,0,0,2
79,Slowpoke,Water,Psychic,Oblivious,Regenerator,Own Tempo,36,190,70,90,65,65,40,40,15,Medium,63,1,0,0,0,0,0
80,Slowbro,Water,Psychic,Oblivious,Regenerator,Own Tempo,78.5,75,70,95,75,110,100,80,30,Medium,172,0,0,2,0,0,0
81,Magnemite,Electric,Steel,Analytic,Sturdy,Magnet Pull,6,190,70,25,35,70,95,55,45,Medium,65,0,0,0,1,0,0
82,Magneton,Electric,Steel,Analytic,Sturdy,Magnet Pull,60,60,70,50,60,95,120,70,70,Medium,163,0,0,0,2,0,0
83,Farfetch'd,Normal,Flying,Defiant,Keen Eye,Inner Focus,15,45,70,52,65,55,58,62,60,Medium,123,0,1,0,0,0,0
84,Doduo,Normal,Flying,Early Bird,Tangled Feet,Run Away,39.2,190,70,35,85,45,35,35,75,Medium,62,0,1,0,0,0,0
85,Dodrio,Normal,Flying,Early Bird,Tangled Feet,Run Away,85.2,45,70,60,110,70,60,60,100,Medium,161,0,2,0,0,0,0
86,Seel,Water,,Hydration,Thick Fat,Ice Body,90,190,70,65,45,55,45,70,45,Medium,65,0,0,0,0,1,0
87,Dewgong,Water,Ice,Hydration,Thick Fat,Ice Body,120,75,70,90,70,80,70,95,70,Medium,166,0,0,0,0,2,0
88,Grimer,Poison,,Poison Touch,Sticky Hold,Stench,30,190,70,80,80,50,40,50,25,Medium,65,1,0,0,0,0,0
89,Muk,Poison,,Poison Touch,Sticky Hold,Stench,30,75,70,105,105,75,65,100,50,Medium,175,1,1,0,0,0,0
90,Shellder,Water,,Overcoat,Skill Link,Shell Armor,4,190,70,30,65,100,45,25,40,Slow,61,0,0,1,0,0,0
91,Cloyster,Water,Ice,Overcoat,Skill Link,Shell Armor,132.5,60,70,50,95,180,85,45,70,Slow,184,0,0,2,0,0,0
92,Gastly,Ghost,Poison,Levitate,,,0.1,190,70,30,35,30,100,35,80,Medium Slow,62,0,0,0,1,0,0
93,Haunter,Ghost,Poison,Levitate,,,0.1,90,70,45,50,45,115,55,95,Medium Slow,142,0,0,0,2,0,0
94,Gengar,Ghost,Poison,Levitate,,,40.5,45,70,60,65,60,130,75,110,Medium Slow,225,0,0,0,3,0,0
95,Onix,Rock,Ground,Rock Head,Weak Armor,Sturdy,210,45,70,35,45,160,30,45,70,Medium,77,0,0,1,0,0,0
96,Drowzee,Psychic,,Forewarn,Insomnia,Inner Focus,32.4,190,70,60,48,45,43,90,42,Medium,66,0,0,0,0,1,0
97,Hypno,Psychic,,Forewarn,Insomnia,Inner Focus,75.6,75,70,85,73,70,73,115,67,Medium,169,0,0,0,0,2,0
98,Krabby,Water,,Hyper Cutter,Shell Armor,Sheer Force,6.5,225,70,30,105,90,25,25,50,Medium,65,0,1,0,0,0,0
99,Kingler,Water,,Hyper Cutter,Shell Armor,Sheer Force,60,60,70,55,130,115,50,50,75,Medium,166,0,2,0,0,0,0
100,Voltorb,Electric,,Aftermath,Static,Soundproof,10.4,190,70,40,30,50,55,55,100,Medium,66,0,0,0,0,0,1
101,Electrode,Electric,,Aftermath,Static,Soundproof,66.6,60,70,60,50,70,80,80,140,Medium,168,0,0,0,0,0,2
102,Exeggcute,Grass,Psychic,Chlorophyll,,Harvest,2.5,90,70,60,40,80,60,45,40,Slow,65,0,0,1,0,0,0
103,Exeggutor,Grass,Psychic,Chlorophyll,,Harvest,120,45,70,95,95,85,125,65,55,Slow,182,0,0,0,2,0,0
104,Cubone,Ground,,Battle Armor,Rock Head,Lightningrod,6.5,190,70,50,50,95,40,50,35,Medium,64,0,0,1,0,0,0
105,Marowak,Ground,,Battle Armor,Rock Head,Lightningrod,45,75,70,60,80,110,50,80,45,Medium,149,0,0,2,0,0,0
106,Hitmonlee,Fighting,,Limber,Unburden,Reckless,49.8,45,70,50,120,53,35,110,87,Medium,159,0,2,0,0,0,0
107,Hitmonchan,Fighting,,Inner Focus,Keen Eye,Iron Fist,50.2,45,70,50,105,79,35,110,76,Medium,159,0,0,0,0,2,0
108,Lickitung,Normal,,Cloud Nine,Own Tempo,Oblivious,65.5,45,70,90,55,75,60,75,30,Medium,77,2,0,0,0,0,0
109,Koffing,Poison,,Levitate,,,1,190,70,40,65,95,60,45,35,Medium,68,0,0,1,0,0,0
110,Weezing,Poison,,Levitate,,,9.5,60,70,65,90,120,85,70,60,Medium,172,0,0,2,0,0,0
111,Rhyhorn,Ground,Rock,Lightningrod,Rock Head,Reckless,115,120,70,80,85,95,30,30,25,Slow,69,0,0,1,0,0,0
112,Rhydon,Ground,Rock,Lightningrod,Rock Head,Reckless,120,60,70,105,130,120,45,45,40,Slow,170,0,2,0,0,0,0
113,Chansey,Normal,,Healer,Serene Grace,Natural Cure,34.6,30,140,250,5,5,35,105,50,Fast,395,2,0,0,0,0,0
114,Tangela,Grass,,Chlorophyll,Regenerator,Leaf Guard,35,45,70,65,55,115,100,40,60,Medium,87,0,0,1,0,0,0
115,Kangaskhan,Normal,,Early Bird,Scrappy,Inner Focus,80,45,70,105,95,80,40,80,90,Medium,172,2,0,0,0,0,0
116,Horsea,Water,,Damp,Swift Swim,Sniper,8,225,70,30,40,70,70,25,60,Medium,59,0,0,0,1,0,0
117,Seadra,Water,,Damp,Sniper,Poison Point,25,75,70,55,65,95,95,45,85,Medium,154,0,0,1,1,0,0
118,Goldeen,Water,,Lightningrod,Water Veil,Swift Swim,15,225,70,45,67,60,35,50,63,Medium,64,0,1,0,0,0,0
119,Seaking,Water,,Lightningrod,Water Veil,Swift Swim,39,60,70,80,92,65,65,80,68,Medium,158,0,2,0,0,0,0
120,Staryu,Water,,Analytic,Natural Cure,Illuminate,34.5,225,70,30,45,55,70,55,85,Slow,68,0,0,0,0,0,1
121,Starmie,Water,Psychic,Analytic,Natural Cure,Illuminate,80,60,70,60,75,85,100,85,115,Slow,182,0,0,0,0,0,2
122,Mr. Mime,Psychic,Fairy,Filter,Technician,Soundproof,54.5,45,70,40,45,65,100,120,90,Medium,161,0,0,0,0,2,0
123,Scyther,Bug,Flying,Steadfast,Technician,Swarm,56,45,70,70,110,80,55,80,105,Medium,100,0,1,0,0,0,0
124,Jynx,Ice,Psychic,Dry Skin,Oblivious,Forewarn,40.6,45,70,65,50,35,115,95,95,Medium,159,0,0,0,2,0,0
125,Electabuzz,Electric,,Static,,Vital Spirit,30,45,70,65,83,57,95,85,105,Medium,172,0,0,0,0,0,2
126,Magmar,Fire,,Flame Body,,Vital Spirit,44.5,45,70,65,95,57,100,85,93,Medium,173,0,0,0,2,0,0
127,Pinsir,Bug,,Hyper Cutter,Moxie,Mold Breaker,55,45,70,65,125,100,55,70,85,Slow,175,0,2,0,0,0,0
128,Tauros,Normal,,Anger Point,Sheer Force,Intimidate,88.4,45,70,75,100,95,40,70,110,Slow,172,0,1,0,0,0,1
129,Magikarp,Water,,Rattled,,Swift Swim,10,255,70,20,10,55,15,20,80,Slow,40,0,0,0,0,0,1
130,Gyarados,Water,Flying,Intimidate,,Moxie,235,45,70,95,125,79,60,100,81,Slow,189,0,2,0,0,0,0
131,Lapras,Water,Ice,Hydration,Water Absorb,Shell Armor,220,45,70,130,85,80,85,95,60,Slow,187,2,0,0,0,0,0
132,Ditto,Normal,,Imposter,,Limber,4,35,70,48,48,48,48,48,48,Medium,101,1,0,0,0,0,0
133,Eevee,Normal,,Adaptability,Run Away,Anticipation,6.5,45,70,55,55,50,45,65,55,Medium,65,0,0,0,0,1,0
134,Vaporeon,Water,,Hydration,,Water Absorb,29,45,70,130,65,60,110,95,65,Medium,184,2,0,0,0,0,0
135,Jolteon,Electric,,Quick Feet,,Volt Absorb,24.5,45,70,65,65,60,110,95,130,Medium,184,0,0,0,0,0,2
136,Flareon,Fire,,Flash Fire,,Guts,25,45,70,65,130,60,95,110,65,Medium,184,0,2,0,0,0,0
137,Porygon,Normal,,Analytic,Trace,Download,36.5,45,70,65,60,70,85,75,40,Medium,79,0,0,0,1,0,0
138,Omanyte,Rock,Water,Shell Armor,Weak Armor,Swift Swim,7.5,45,70,35,40,100,90,55,35,Medium,71,0,0,1,0,0,0
139,Omastar,Rock,Water,Shell Armor,Weak Armor,Swift Swim,35,45,70,70,60,125,115,70,55,Medium,173,0,0,2,0,0,0
140,Kabuto,Rock,Water,Battle Armor,Weak Armor,Swift Swim,11.5,45,70,30,80,90,55,45,55,Medium,71,0,0,1,0,0,0
141,Kabutops,Rock,Water,Battle Armor,Weak Armor,Swift Swim,40.5,45,70,60,115,105,65,70,80,Medium,173,0,2,0,0,0,0
142,Aerodactyl,Rock,Flying,Pressure,Unnerve,Rock Head,59,45,70,80,105,65,60,75,130,Slow,180,0,0,0,0,0,2
143,Snorlax,Normal,,Gluttony,Thick Fat,Immunity,460,25,70,160,110,65,65,110,30,Slow,189,2,0,0,0,0,0
144,Articuno,Ice,Flying,Pressure,,,55.4,3,35,90,85,100,95,125,85,Slow,261,0,0,0,0,3,0
145,Zapdos,Electric,Flying,Pressure,,,52.6,3,35,90,90,85,125,90,100,Slow,261,0,0,0,3,0,0
146,Moltres,Fire,Flying,Pressure,,,60,3,35,90,100,90,125,85,90,Slow,261,0,0,0,3,0,0
147,Dratini,Dragon,,Marvel Scale,,Shed Skin,3.3,45,35,41,64,45,50,50,50,Slow,60,0,1,0,0,0,0
148,Dragonair,Dragon,,Marvel Scale,,Shed Skin,16.5,45,35,61,84,65,70,70,70,Slow,147,0,2,0,0,0,0
149,Dragonite,Dragon,Flying,Inner Focus,,Multiscale,210,45,35,91,134,95,100,100,80,Slow,270,0,3,0,0,0,0
150,Mewtwo,Psychic,,Pressure,,Unnerve,122,3,0,106,110,90,154,90,130,Slow,306,0,0,0,3,0,0
151,Mew,Psychic,,Synchronize,,,4,45,100,100,100,100,100,100,100,Medium Slow,270,3,0,0,0,0,0
152,Chikorita,Grass,,Overgrow,,,6.4,45,70,45,49,65,49,65,45,Medium Slow,64,0,0,0,0,1,0
153,Bayleef,Grass,,Overgrow,,,15.8,45,70,60,62,80,63,80,60,Medium Slow,142,0,0,1,0,1,0
154,Meganium,Grass,,Overgrow,,,100.5,45,70,80,82,100,83,100,80,Medium Slow,236,0,0,1,0,2,0
155,Cyndaquil,Fire,,Blaze,,,7.9,45,70,39,52,43,60,50,65,Medium Slow,62,0,0,0,0,0,1
156,Quilava,Fire,,Blaze,,,19,45,70,58,64,58,80,65,80,Medium Slow,142,0,0,0,1,0,1
157,Typhlosion,Fire,,Blaze,,,79.5,45,70,78,84,78,109,85,100,Medium Slow,240,0,0,0,3,0,0
158,Totodile,Water,,Torrent,,,9.5,45,70,50,65,64,44,48,43,Medium Slow,63,0,1,0,0,0,0
159,Croconaw,Water,,Torrent,,,25,45,70,65,80,80,59,63,58,Medium Slow,142,0,1,1,0,0,0
160,Feraligatr,Water,,Torrent,,,88.8,45,70,85,105,100,79,83,78,Medium Slow,239,0,2,1,0,0,0
161,Sentret,Normal,,Frisk,Run Away,Keen Eye,6,255,70,35,46,34,35,45,20,Medium,43,0,1,0,0,0,0
162,Furret,Normal,,Frisk,Run Away,Keen Eye,32.5,90,70,85,76,64,45,55,90,Medium,145,0,0,0,0,0,2
163,Hoothoot,Normal,Flying,Insomnia,Tinted Lens,Keen Eye,21.2,255,70,60,30,30,36,56,50,Medium,52,1,0,0,0,0,0
164,Noctowl,Normal,Flying,Insomnia,Tinted Lens,Keen Eye,40.8,90,70,100,50,50,76,96,70,Medium,155,2,0,0,0,0,0
165,Ledyba,Bug,Flying,Early Bird,Swarm,Rattled,10.8,255,70,40,20,30,40,80,55,Fast,53,0,0,0,0,1,0
166,Ledian,Bug,Flying,Early Bird,Swarm,Iron Fist,35.6,90,70,55,35,50,55,110,85,Fast,137,0,0,0,0,2,0
167,Spinarak,Bug,Poison,Insomnia,Swarm,Sniper,8.5,255,70,40,60,40,40,40,30,Fast,50,0,1,0,0,0,0
168,Ariados,Bug,Poison,Insomnia,Swarm,Sniper,33.5,90,70,70,90,70,60,60,40,Fast,137,0,2,0,0,0,0
169,Crobat,Poison,Flying,Infiltrator,,Inner Focus,75,90,70,85,90,80,70,80,130,Medium,241,0,0,0,0,0,3
170,Chinchou,Water,Electric,Illuminate,Water Absorb,Volt Absorb,12,190,70,75,38,38,56,56,67,Slow,66,1,0,0,0,0,0
171,Lanturn,Water,Electric,Illuminate,Water Absorb,Volt Absorb,22.5,75,70,125,58,58,76,76,67,Slow,161,2,0,0,0,0,0
172,Pichu,Electric,,Lightningrod,,Static,2,190,70,20,40,15,35,35,60,Medium,41,0,0,0,0,0,1
173,Cleffa,Fairy,,Cute Charm,Magic Guard,Friend Guard,3,150,140,50,25,28,45,55,15,Fast,44,0,0,0,0,1,0
174,Igglybuff,Normal,Fairy,Cute Charm,,Friend Guard,1,170,70,90,30,15,40,20,15,Fast,42,1,0,0,0,0,0
175,Togepi,Fairy,,Hustle,Super Luck,Serene Grace,1.5,190,70,35,20,65,40,65,20,Fast,49,0,0,0,0,1,0
176,Togetic,Fairy,Flying,Hustle,Super Luck,Serene Grace,3.2,75,70,55,40,85,80,105,40,Fast,142,0,0,0,0,2,0
177,Natu,Psychic,Flying,Early Bird,Synchronize,Magic Bounce,2,190,70,40,50,45,70,45,70,Medium,64,0,0,0,1,0,0
178,Xatu,Psychic,Flying,Early Bird,Synchronize,Magic Bounce,15,75,70,65,75,70,95,70,95,Medium,165,0,0,0,1,0,1
179,Mareep,Electric,,Plus,,Static,7.8,235,70,55,40,40,65,45,35,Medium Slow,56,0,0,0,1,0,0
180,Flaaffy,Electric,,Plus,,Static,13.3,120,70,70,55,55,80,60,45,Medium Slow,128,0,0,0,2,0,0
181,Ampharos,Electric,,Plus,,Static,61.5,45,70,90,75,75,115,90,55,Medium Slow,225,0,0,0,3,0,0
182,Bellossom,Grass,,Chlorophyll,,Healer,5.8,45,70,75,80,85,90,100,50,Medium Slow,216,0,0,0,0,3,0
183,Marill,Water,Fairy,Huge Power,Thick Fat,Sap Sipper,8.5,190,70,70,20,50,20,50,40,Fast,88,2,0,0,0,0,0
184,Azumarill,Water,Fairy,Huge Power,Thick Fat,Sap Sipper,28.5,75,70,100,50,80,50,80,50,Fast,185,3,0,0,0,0,0
185,Sudowoodo,Rock,,Rattled,Sturdy,Rock Head,38,65,70,70,100,115,30,65,30,Medium,144,0,0,2,0,0,0
186,Politoed,Water,,Damp,Water Absorb,Drizzle,33.9,45,70,90,75,75,90,100,70,Medium Slow,225,0,0,0,0,3,0
187,Hoppip,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,0.5,255,70,35,35,40,35,55,50,Medium Slow,50,0,0,0,0,1,0
188,Skiploom,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,1,120,70,55,45,50,45,65,80,Medium Slow,119,0,0,0,0,0,2
189,Jumpluff,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,3,45,70,75,55,70,55,85,110,Medium Slow,203,0,0,0,0,0,3
190,Aipom,Normal,,Pickup,Skill Link,Run Away,11.5,45,70,55,70,55,40,55,85,Fast,72,0,0,0,0,0,1
191,Sunkern,Grass,,Chlorophyll,Solar Power,Early Bird,1.8,235,70,30,30,30,30,30,30,Medium Slow,36,0,0,0,1,0,0
192,Sunflora,Grass,,Chlorophyll,Solar Power,Early Bird,8.5,120,70,75,75,55,105,85,30,Medium Slow,149,0,0,0,2,0,0
193,Yanma,Bug,Flying,Compound Eyes,Speed Boost,Frisk,38,75,70,65,65,45,75,45,95,Medium,78,0,0,0,0,0,1
194,Wooper,Water,Ground,Damp,Water Absorb,Unaware,8.5,255,70,55,45,45,25,25,15,Medium,42,1,0,0,0,0,0
195,Quagsire,Water,Ground,Damp,Water Absorb,Unaware,75,90,70,95,85,85,65,65,35,Medium,151,2,0,0,0,0,0
196,Espeon,Psychic,,Magic Bounce,,Synchronize,26.5,45,70,65,65,60,130,95,110,Medium,184,0,0,0,2,0,0
197,Umbreon,Dark,,Inner Focus,,Synchronize,27,45,35,95,65,110,60,130,65,Medium,184,0,0,0,0,2,0
198,Murkrow,Dark,Flying,Insomnia,Super Luck,Prankster,2.1,30,35,60,85,42,85,42,91,Medium Slow,81,0,0,0,0,0,1
199,Slowking,Water,Psychic,Oblivious,Regenerator,Own Tempo,79.5,70,70,95,75,80,100,110,30,Medium,172,0,0,0,0,3,0
200,Misdreavus,Ghost,,Levitate,,,1,45,35,60,60,60,85,85,85,Fast,87,0,0,0,0,1,0
201,Unown,Psychic,,Levitate,,,5,225,70,48,72,48,72,48,48,Medium,118,0,1,0,1,0,0
